Time based,,Performance based,,Time based,,
"As at September 30, 2025",,"As at September 30, 2025",,"As at September 30, 2024",,
No. of options,WAEP,No. of options,WAEP,No. of options,WAEP,No. of options
"8 97,225
4 ,486,125
-
(13,835)
-
( 1,615,245)
2 ,857,045","1 ,027
205
-
364
-
196
210","2 ,017,308
1 0,086,540
-
(163,885)
-
-
9 ,922,655","1,015
2 03
-
3 05
-
-
2 01","1,007,279
-
( 6,063)
-
( 80,428)
920,788","1,029
-
924
-
942
1,033","2 ,029,338
-
( 9,020)
-
-
2 ,020,318"
"2,765,026","1,049",-,-,"578,350","1,043",-
Time based,,Performance based,,Time based,,
"As at March 31, 2025",,"As at March 31, 2025",,"As at March 31, 2024",,
No. of options,WAEP,No. of options,WAEP,No. of options,WAEP,No. of options
"1 ,007,279
-
(6,063)
-
( 103,991)
8 97,225","1 ,029
-
924
-
1 ,054
1 ,027","2 ,029,338
-
(12,030)
-
-
2 ,017,308","1,016
-
1,202
-
-
1,015","1,060,602
-
( 45,049)
-
( 8,274)
1,007,279","1,055
-
1,676
-
880
1,029","2 ,129,772
-
(100,434)
-
-
2 ,029,338"
"869,266","1,018",-,-,"655,513","1,024",-
