Fractal.ai,Fractal alpha,Unallocated,Intersegment elimination
"1 5,184
2 ,177
-
-
-
-
-","4 51
(66)
-
-
-
-
-","-
(115)
3 53
(233)
(635)
(445)
(48)","(45)
-
-
-
-
-
-"
Fractal.ai,Fractal alpha,Unallocated,Intersegment elimination
"1 2,741
1 ,526
-
-
-
-
-","2 75
(197)
-
-
-
-
-","-
6
2 19
(367)
(442)
(215)
(29)","( 9)
-
-
-
-
-
-"
Fractal.ai,Fractal alpha,Unallocated,Intersegment elimination
"2 7,037
3 ,788
-
-
-
-
-","6 44
(283)
-
-
-
-
-","-
( 6)
5 08
(577)
(1,023)
(297)
2 70","(27)
-
-
-
-
-
-"
Fractal.ai,Fractal alpha,Unallocated,Intersegment elimination
"2 1,615
1 ,233
-
-
-
-
-","3 65
(494)
-
-
-
-
-","-
( 5)
4 56
(445)
(832)
(163)
(55)","(17)
-
-
-
-
-
-"
Fractal.ai,Fractal alpha,Unallocated,Intersegment elimination
"1 9,691
(315)
-
-
-
-
-","1 90
(616)
-
-
-
-
-","-
(233)
5 83
(453)
(781)
(290)
5 ,239","(27)
-
-
-
-
-
-"
