"Net Assets i.e. Total Assets
minus Total Liabilities",,Share in Profit or Loss,,Share in OCI,,
"As % of
Consolidated
Net Assets",Amount,"As % of
Consolidated
Profit or Loss",Amount,"As % of
Consolidated
OCI",Amount,"As % of
Consolidated
Total
Comprehensive
Income"
108%,"2 1,330",90%,6 39,-56%,( 57),72%
5%,"1 ,017",60%,4 27,0%,-,53%
1%,1 52,1%,4,0%,-,0%
0%,2 8,1%,1 0,2%,2,1%
-0%,( 14),1%,9,1%,1,1%
4%,8 61,7%,4 6,0%,-,6%
-4%,( 795),-27%,( 190),0%,-,-23%
1%,2 13,5%,3 3,-2%,( 2),4%
0%,5 8,-0%,( 0),0%,-,-0%
0%,6,0%,1,0%,-,0%
0%,2 6,0%,1,0%,-,0%
0%,4,0%,1,0%,-,0%
0%,1 1,0%,1,0%,-,0%
1%,1 18,1%,7,0%,-,1%
0%,3 3,1%,5,0%,-,1%
1%,1 53,1%,9,0%,-,1%
0%,0,0%,1,0%,-,0%
0%,3 6,0%,0,0%,-,0%
0%,4 0,2%,1 2,0%,-,1%
0%,4,0%,1,0%,-,0%
-0%,( 0),-0%,( 0),0%,-,-0%
0%,3 5,0%,2,0%,-,0%
-1%,( 290),1%,4,0%,-,0%
-,-,-0%,( 0),0%,-,-0%
0%,3,0%,0,0%,-,0%
0%,2,0%,1,0%,-,0%
116%,"2 3,031",144%,"1 ,024",-55%,( 56),119%
-32%,"( 6,437)",20%,1 39,148%,1 51,36%
16%,"3 ,132",-63%,( 445),7%,7,-54%
0%,6 9,-1%,( 9),0%,0,-1%
100%,"19,795",100%,709,100%,102,100%
"Net Assets i.e. Total Assets minus
Total Liabilities",,Share in Profit or Loss,,Share in OCI,,
"As % of
Consolidated
Net Assets",Amount,"As % of
Consolidated
Profit or Loss",Amount,"As % of
Consolidated
OCI",Amount,"As % of
Consolidated
Total
Comprehensive
Income"
116%,"1 8,041",76%,5 54,481%,( 43),71%
-5%,( 744),7%,5 2,0%,-,7%
1%,1 38,0%,4,0%,-,1%
0%,6,0%,( 0),0%,-,0%
1%,1 69,0%,5,0%,-,1%
0%,( 10),1%,8,0%,-,1%
0%,( 34),0%,( 1),17%,( 2),0%
0%,( 1),0%,( 0),0%,-,0%
-2%,( 349),-12%,( 87),1%,( 0),-12%
0%,( 12),-6%,( 44),-1%,0,-6%
1%,8 5,0%,2,0%,-,0%
4%,6 74,7%,4 8,0%,-,7%
0%,( 0),0%,-,0%,-,0%
-3%,( 516),-22%,( 158),0%,-,-22%
1%,1 60,3%,1 9,-1%,0,3%
0%,5 4,0%,0,0%,-,0%
0%,5,0%,0,0%,-,0%
0%,-,0%,-,0%,-,0%
0%,2 1,0%,1,0%,-,0%
0%,5,0%,( 1),0%,-,0%
0%,9,0%,( 0),0%,-,0%
0%,9 4,2%,1 3,0%,-,2%
0%,1 7,0%,4,0%,-,1%
1%,1 20,3%,2 5,0%,-,3%
0%,( 1),0%,( 2),0%,-,0%
0%,3 4,0%,0,0%,-,0%
0%,1 6,1%,6,0%,-,1%
0%,0,0%,0,0%,-,0%
0%,( 2),0%,( 1),0%,-,0%
0%,3 0,0%,2,0%,-,0%
-2%,( 281),1%,4,0%,-,1%
0%,( 0),0%,( 0),0%,-,0%
-2%,( 383),-1%,( 8),0%,-,-1%
0%,-,0%,-,0%,-,0%
0%,4,1%,4,0%,0,1%
112%,"1 7,349",62%,4 49,497%,( 45),56%
-39%,"( 5,968)",71%,5 20,-401%,3 6,77%
26%,"4 ,065",-29%,( 215),4%,( 0),-30%
1%,1 13,-3%,( 25),0%,( 0),-3%
100%,"15,559",100%,729,100%,(9),100%
"Net Assets i.e. Total Assets
minus Total Liabilities",,Share in Profit or Loss,,Share in OCI,,
"As % of
Consolidated
Net Assets",Amount,"As % of
Consolidated
Profit or Loss",Amount,"As % of
Consolidated OCI",Amount,"As % of
Consolidated
Total
Comprehensive
Income"
110%,"1 9,467",60%,"1 ,321",75%,( 37),60%
3%,4 87,14%,3 15,0%,-,10%
1%,1 43,0%,9,8%,-,0%
0%,5,0%,( 1),0%,-,0%
1%,1 74,0%,1 0,0%,-,0%
0%,7,1%,2 5,0%,-,1%
0%,2,2%,3 5,-4%,2,2%
0%,( 0),0%,( 1),0%,-,0%
-1%,( 213),-6%,( 141),0%,0,-7%
0%,( 24),-3%,( 56),2%,( 1),-3%
0%,88,0%,5,0%,-,0%
4%,7 42,3%,6 9,-61%,-,5%
-3%,( 605),-11%,( 240),23%,-,-12%
1%,1 81,2%,3 9,-2%,1,2%
0%,56,0%,1,-1%,-,0%
0%,5,0%,0,0%,-,0%
0%,22,0%,3,-1%,-,0%
0%,4,0%,( 2),-1%,-,0%
0%,9,0%,( 0),0%,-,0%
0%,1 03,1%,2 4,5%,-,1%
0%,20,0%,7,0%,-,0%
1%,1 29,2%,4 3,6%,-,2%
0%,( 1),0%,( 2),-9%,-,0%
0%,34,0%,0,0%,-,0%
0%,25,1%,1 5,-1%,-,1%
0%,2,0%,2,0%,-,0%
0%,0,0%,( 1),0%,-,0%
0%,32,0%,3,8%,-,0%
-2%,( 283),0%,8,0%,-,0%
0%,0,0%,0,0%,-,0%
0%,3,5%,1 03,16%,-,4%
0%,-,0%,-,0%,-,0%
0%,1,0%,1,0%,-,0%
117%,"2 0,615",72%,"1 ,594",62%,( 35),68%
-38%,"( 6,653)",14%,3 08,27%,( 14),18%
20%,"3 ,570",15%,3 28,3%,( 1),15%
1%,1 22,-1%,( 24),0%,0,-1%
100%,"17,654",100%,"2,206",100%,(50),100%
"Net Assets i.e. Total Assets
minus Total Liabilities",,Share in Profit or Loss,,Share in OCI,,
"As % of
Consolidated
Net Assets",Amount,"As % of
Consolidated
Profit or Loss",Amount,"As % of
Consolidated OCI",Amount,"As % of
Consolidated
Total
Comprehensive
Income"
119%,"1 6,898",-146%,799,93%,4 5,-169%
-4%,( 587),120%,( 656),0%,-,0%
1%,132,0%,3,0%,-,0%
0%,6,-145%,795,0%,-,-159%
1%,165,-3%,1 8,0%,-,-4%
0%,( 16),4%,( 23),0%,-,5%
0%,( 35),-1%,6,5%,3,-2%
0%,( 1),0%,( 0),0%,-,0%
1%,140,-6%,3 1,-2%,( 1),0%
-2%,( 265),17%,( 94),6%,3,0%
0%,3 2,21%,( 115),0%,0,0%
1%,8 3,0%,2,0%,-,0%
4%,553,-15%,8 3,0%,-,0%
0%,-,0%,-,0%,-,0%
-3%,( 361),55%,( 298),0%,-,60%
0%,5 4,9%,( 52),0%,-,10%
0%,4,0%,0,0%,-,0%
2%,253,-9%,4 8,0%,-,-10%
0%,1 8,0%,2,0%,-,0%
0%,5,0%,( 0),0%,-,0%
0%,9,0%,0,0%,-,0%
1%,8 0,-5%,2 6,0%,-,-5%
0%,1 2,-1%,5,0%,-,-1%
1%,8 8,-4%,2 3,0%,-,-5%
0%,1,0%,0,0%,-,0%
0%,3 3,-1%,3,0%,-,-1%
0%,1 0,-1%,7,0%,-,-1%
0%,( 2),0%,( 1),0%,-,0%
0%,2 9,-1%,3,0%,-,-1%
-2%,( 284),0%,3,0%,-,-1%
0%,( 0),-79%,430,0%,-,-86%
-3%,( 373),17%,( 93),0%,-,19%
0%,-,0%,-,0%,-,0%
117%,"1 6,681",-176%,955,102%,5 0,-202%
-42%,"( 5,867)",222%,"( 1,211)",0%,( 0),244%
23%,"3 ,243",40%,( 219),-2%,( 2),44%
1%,142,13%,( 72),0%,( 0),14%
100%,"14,199",100%,(547),100%,48,100%
"Net Assets i.e. Total Assets
minus Total Liabilities",,Share In Profit or Loss,,Share In OCI,,
"As % of
Consolidated
Net Assets",Amount,"As % of
Consolidated
Profit or Loss",Amount,"As % of
Consolidated OCI",Amount,"As % of
Consolidated
Total
Comprehensive
Income"
112%,"1 5,005",-28%,(560),20%,2 0,-25%
6%,7 46,-63%,"(1,272)",0%,-,-60%
1%,1 17,0%,7,0%,-,0%
-6%,( 791),-16%,(324),0%,0,-15%
1%,1 47,1%,1 7,0%,( 0),1%
0%,8,-6%,(129),0%,0,-6%
0%,( 44),1%,1 6,-1%,( 1),1%
0%,( 0),0%,(5),0%,-,0%
1%,1 09,1%,2 4,0%,0,1%
-1%,( 193),-13%,(259),-1%,( 1),-12%
1%,1 36,-7%,(143),0%,0,-7%
1%,8 1,2%,3 3,-2%,( 2),1%
3%,3 53,8%,1 64,0%,-,8%
-3%,( 432),1%,2 8,0%,-,1%
0%,( 62),-13%,(272),0%,-,-13%
1%,1 04,-3%,(54),0%,-,-3%
0%,4,0%,0,0%,-,0%
2%,2 43,-10%,(207),0%,-,-10%
0%,1 6,0%,0,0%,-,0%
0%,6,0%,0,0%,-,0%
0%,9,0%,3,0%,-,0%
0%,5 4,2%,3 5,0%,-,2%
0%,7,0%,5,0%,-,0%
0%,6 6,2%,3 6,0%,-,2%
0%,1,0%,0,0%,-,0%
0%,3 1,0%,3,0%,-,0%
0%,( 0),0%,(0),0%,-,0%
0%,2 8,0%,6,0%,-,0%
-2%,( 283),-1%,(30),0%,-,-1%
-3%,( 424),-21%,(427),0%,-,-20%
-2%,( 262),-11%,(231),0%,-,-11%
0%,-,0%,-,0%,-,0%
112%,"1 4,780",-174%,"(3,536)",16%,1 6,-172%
-46%,"( 5,828)",572%,"1 1,266",83%,8 0,556%
33%,"4 ,479",-293%,"(5,700)",1%,1,-279%
1%,2 03,-4%,(86),0%,-,-4%
100%,"13,634",100%,"1,944",100%,97,100%
