Name of the entities,CIN,"Holding Company/
Subsidiary/ JV/ Associate"
Cuddle Artificial Intelligence Private Limited,U74999MH2016PTC283206,Subsidiary Company
Theremin AI Solutions Private Limited,U72900MH2018PTC318795,Subsidiary Company
Eugenie Technologies Private Limited,U74999MH2020PTC347625,Subsidiary Company
Senseforth AI Research Private Limited,U72900MH2017PTC436180,Subsidiary Company
Neal Analytics Services Private Limited,U72900MH2014FTC254858,Subsidiary Company
Fractal Alpha Private Limited,U72900MH2022PTC377868,Subsidiary Company
Analytics Vidhya Educon Private Limited,U80904MP2014PTC032389,Subsidiary Company
Qure.ai Technologies Private Limited,U74999MH2016PTC283891,Associate Company
Name of the entities,CIN,"Holding Company/
Subsidiary/ JV/ Associate"
Cuddle Artificial Intelligence Private Limited,U74999MH2016PTC283206,Subsidiary
Senseforth AI Research Private Limited,U72900KA2017PTC101706,Subsidiary
Analytics Vidhya Educon Private Limited,U80904MP2014PTC032389,Subsidiary
Name of the entities,CIN,"Holding Company/
Subsidiary/ JV/ Associate"
Analytics Vidhya Educon Private Limited,U80904MP2014PTC032389,Subsidiary
Senseforth AI Research Private Limited,U72900KA2017PTC101706,Subsidiary
