Class of Assets,Gross Block,,,,Accumulated Depreciation,,,,Net Block
,"As at
April 1, 2025",Additions,Deductions,"As at
September 30, 2025","Upto
April 1, 2025",For the period*,Deductions,"Upto
September 30, 2025","As at
September 30, 2025"
Freehold Land,54.69,-,-,54.69,-,-,-,-,54.69
Factory Buildings,935.58,4 .75,-,940.33,351.87,27.88,-,379.75,560.58
Factory Equipment,19.57,2 .50,-,22.07,13.49,1.55,-,15.04,7.03
Plant & Machinery,"1,463.27",230.98,15.74,"1,678.51",949.57,71.05,5.80,"1,014.82",663.69
Laboratory Equipment,92.70,0 .22,-,92.92,63.47,3.25,-,66.72,26.20
Electrical Installation,231.40,0 .60,3.22,228.78,103.68,15.88,2.54,117.02,111.76
Office Equipments,41.15,1 .74,-,42.89,27.82,2.94,-,30.76,12.13
Office Building,29.76,-,-,29.76,10.71,0.42,-,11.13,18.63
Computers,24.46,1 .86,0.11,26.21,19.07,1.51,0.10,20.48,5.73
Furniture & Fixtures,83.74,0 .67,-,84.41,45.17,4.51,-,49.68,34.73
Vehicles,32.27,3 .74,-,36.01,20.97,1.88,-,22.85,13.16
Total,"3,008.59",247.06,19.07,"3,236.58","1,605.82",130.87,8.44,"1,728.25","1,508.33"
