Class of Assets,Gross Block,,,,,Accumulated Depreciation,,,,,Net Block
,"As at
April 1, 2023",Additions,Deductions,"Deductions due to
Discontinued
Operation
(Refer Note 49)","As at
March 31, 2024","Upto
April 1, 2023","For the year relating
to Continuing
Operation",Deductions,"Deductions due to
Discontinued
Operation
(Refer Note 49)","Upto
March 31, 2024","As at
March 31, 2024"
Freehold Land,39.17,-,-,-,39.17,-,-,-,-,-,39.17
Factory Buildings,610.43,22.76,-,-,633.19,2 71.20,36.49,-,-,307.69,325.50
Factory Equipment,14.30,0.19,-,-,14.49,1 0.91,1.11,-,-,12.02,2.47
Plant & Machinery,"1,179.88",159.29,32.05,-,"1,307.12",7 41.66,111.83,18.39,-,835.10,472.02
Laboratory Equipment,76.43,3.56,2.43,-,77.56,5 2.79,6.29,2.08,-,57.00,20.56
Electrical Installation,100.92,52.48,-,-,153.40,6 8.05,8.15,-,-,76.20,77.20
Office Equipments,25.33,9.01,-,0 .37,33.97,1 8.07,4.52,0.30,0.03,22.29,11.68
Office Building,29.76,-,-,-,29.76,8 .72,1.02,-,-,9.74,20.02
Computers,20.40,1.92,1.71,0 .48,20.13,1 4.84,3.29,1.81,0.11,16.32,3.81
Furniture & Fixtures,48.81,20.26,-,-,69.07,3 0.32,5.42,-,-,35.74,33.33
Vehicles,41.67,-,-,-,41.67,1 9.28,7.03,-,-,26.31,15.36
Total,"2,187.10",269.47,36.19,0 .85,"2,419.53","1,235.84",185.15,22.58,0.14,"1,398.41","1,021.12"
