Particulars,"For the year ended March 31, 2025",,
,Opening Balance,Charged to P&L/OCI,Closing Balance
Deferred tax (liabilities)/ asset in relation to:,,,
"Difference between book base and tax base of Property, plant and equipment and Other intangible assets",65.95,13.93,79.88
Provision for employee benefit,9.86,(0.36),9.50
Provision for expected credit loss,46.18,14.27,60.45
Processing fees and professional fees,(1.11),0.66,(0.45)
Deferred tax on stock reserve,15.17,38.87,54.04
Unabsorbed loss and depreciation carried forward,-,20.58,20.58
Others,0.17,(0.12),0.05
Total,136.22,8 7.83,224.05
