Name of Shareholder,Particulars,"As at
September 30, 2025","As at
March 31, 2025","As at
March 31, 2024","As at
March 31, 2023"
Vrajmohan R. Shah (Refer Note (e) below),No.of Shares,-,-,"3 ,90,750","3 ,90,750"
,% of Total Shares,0.00%,0.00%,15.02%,14.22%
,%Change During the period/ year,0.00%,-15.02%,0.80%,0.97%
Vrajmohan Ramanlal Shah (HUF),No.of Shares,-,-,-,-
,% of Total Shares,-,-,-,-
,%Change During the period/ year,-,-,-,-6.59%
Vihangi Shah #,No.of Shares,"1 ,500","1 ,500",1 00,1 00
,% of Total Shares,0.00%,0.00%,0.00%,0.00%
,%Change During the period/ year,0.00%,0.00%,-,-0.17%
Deepa B. Shah #,No.of Shares,"1 ,500","1 ,500",1 00,1 00
,% of Total Shares,0.00%,0.00%,0.00%,0.00%
,%Change During the period/ year,0.00%,0.00%,0.00%,-1.90%
Vilasben V. Shah #,No.of Shares,"8 5,12,500","8 5,12,500","1 ,76,750","6 ,31,275"
,% of Total Shares,21.82%,21.82%,6.79%,22.97%
,%Change During the period/ year,0.00%,15.02%,-16.20%,16.99%
Mr. Vrajmohan R. Shah Jointly with Mrs. Vilasben V. Shah (Refer Note No. (e) below),No.of Shares,-,-,-,-
,% of Total Shares,-,-,-,-
,%Change During the period/ year,-,-,-,-8.85%
Falguni K. Shah #,No.of Shares,"1 ,500","1 ,500",1 00,1 00
,% of Total Shares,0.00%,0.00%,0.00%,0.00%
,%Change During the period/ year,0.00%,0.00%,0.00%,-1.90%
Bhavesh V. Shah #,No.of Shares,"9 5,35,650","9 5,35,650","6 ,35,710","6 ,35,710"
,% of Total Shares,24.44%,24.44%,24.44%,23.13%
,%Change During the period/ year,0.00%,0.00%,1.31%,3.34%
Riddhi Shah #,No.of Shares,"1 6,500","1 6,500","1 ,100","1 ,100"
,% of Total Shares,0.04%,0.04%,0.04%,0.04%
,%Change During the period/ year,0.00%,0.00%,0.00%,-0.16%
