Name of the Related Party,Relationship
BPI Chemtex Private Limited (Formerly known as Bharat Pesticides Industries Private Limited),Enterprise over which KMP have control
"Indo GSP Chemicals Private Limited (From 16th March, 2024) (refer note (i))",Enterprise over which KMP have control
GSP Uruguay Sociedad Anonima (refer note (ii)),Enterprise over which KMP have control
"Agrochem Intermediaries Private Limited (Upto December 31, 2023)",Enterprise over which KMP have control
"BriskWalk IT Solutions LLP (Upto November 8, 2023)",Enterprise over which KMP have control
"Vrajmohan Ramanlal Shah (HUF) (Upto July 5, 2022) (refer note (iii))",Enterprise over which KMP have control
"Kenal Vrajmohan Shah HUF (Upto May 31, 2022) (refer note (iii))",Enterprise over which KMP have control
"Bhavesh Vrajmohan Shah HUF (Upto August 2, 2022) (refer note (iii))",Enterprise over which KMP have control
Sadguru Shree Vallabhacharya Charitable Trust,Trust over which KMP have control
Alpha Trust,Trust over which KMP have control
Athena Trust,Trust over which KMP have control
BETA Trust,Trust over which KMP have control
Kappa Trust,Trust over which KMP have control
Shard Trust,Trust over which KMP have control
Monakhos Trust,Trust over which KMP have control
Stamford Trust,Trust over which KMP have control
"Mr. Vrajmohan R Shah (Till February 13, 2022)",Key Management Personnel (KMP)
"Mr.Kenal V Shah (Till November 19, 2022)",Key Management Personnel (KMP)
Mr.Bhavesh V Shah,Key Management Personnel (KMP)
Mr Shail J.Shah,Key Management Personnel (KMP)
Mr.Tirth Shah,Key Management Personnel (KMP)
"Mr.Mehul Pandya (From June 01, 2022)",Key Management Personnel (KMP)
"Mr. Kamlesh D. Patel (From January 11, 2024)",Key Management Personnel (KMP)
"Mr.Kenal V Shah (From November 19, 2022)",Relative of Key Management Personnel
Ms.Vilasben V Shah,Relative of Key Management Personnel
Ms.Falguni K. Shah,Relative of Key Management Personnel
Ms.Deepa B. Shah,Relative of Key Management Personnel
Ms.Riddhi Shah,Relative of Key Management Personnel
Ms.Vihangi Shah,Relative of Key Management Personnel
Mr. Pujan Shah,Relative of Key Management Personnel
