Particulars,Nature of transactions,"As at
September 30, 2025","As at
March 31, 2025","As at
March 31, 2024","As at
March 31, 2023"
,,Receivable / (Payable),Receivable / (Payable),Receivable / (Payable),Receivable / (Payable)
Trade Receivable,,,,,
Indo GSP Chemicals Private Limited,Job Work Income,2 4.15,1 41.24,-,-
,Sales of Products,1 38.67,6 8.19,209.53,-
Interest Receivable,,,,,
Indo GSP Chemicals Private Limited,Interest income Receivable,1 .48,1 8.00,4.78,-
Trade Payable,,,,,
"BPI Chemtex Private Limited (Formerly
known as Bharat Pesticides Industries Private
Limited)",Purchase of Products,-,(17.45),-,-
,Job Work Charges,(1.38),(2.76),( 19.94),( 32.52)
Mr.Bhavesh Vrajmohan Shah,Rent Expenses,,,( 0.39),
Ms.Shah Vilasben Vrajmohan,Rent Expenses,-,-,( 0.58),-
Ms.Shah Deepa Bhavesh,Interest Expenses,-,-,0.00,-
Ms.Vihangi Shah,Reimbursement of Expense,-,-,( 0.02),-
Investment,,,,,
BETA Trust,Sale of Investment,-,-,8.84,-
Kappa Trust,Sale of Investment,-,-,17.00,-
Loan Taken,,,,,
Mr.Kenal Vrajmohan Shah,Loan Taken,-,-,( 10.16),( 15.81)
Mr.Bhavesh Vrajmohan Shah,Loan Taken,-,-,( 18.28),( 23.91)
Vrajmohan Ramanlal Shah HUF,Loan Taken,-,-,-,( 0.07)
Ms.Shah Vilasben Vrajmohan,Loan Taken,-,-,( 9.51),( 11.43)
Ms.Falguni Kenal Shah,Loan Taken,-,-,-,( 0.26)
Ms.Vihangi Shah,Loan Taken,-,-,-,( 1.06)
Mr.Tirth Shah,Loan Taken,-,-,-,( 5.53)
Loan Given,,,,,
Indo GSP Chemicals Private Limited,Loan Given,2 00.00,2 00.00,200.00,-
Payable for Employee Benefits,,,,,
Mr.Bhavesh Vrajmohan Shah,Employee Benefits Payable,(0.95),(0.94),( 0.45),( 1.34)
,Incentive Payable,-,(15.00),-,-
Mr.Shail J Shah,Employee Benefits Payable,(0.55),(0.52),( 0.70),( 0.36)
Mr. Kamlesh D. Patel,Employee Benefits Payable,(0.17),0 .14,-,-
Mr. Mehul Pandya,Employee Benefits Payable,(0.50),(0.38),( 0.38),( 0.36)
Ms. Vihangi Shah,Employee Benefits Payable,(0.04),(0.04),( 0.04),-
Ms. Riddhi Shah,Employee Benefits Payable,,,,( 0.04)
Mr.Tirth Shah,Employee Benefits Payable,(0.96),(0.36),( 0.15),( 0.33)
Advance to Employees,,,,,
Mr.Bhavesh Vrajmohan Shah,Advance for Expenses,1 .50,,,
,Advance for Travelling,0 .36,0 .18,0.30,-
Mr. Mehul Pandya,Advance for Traveling,0 .05,0 .07,0.09,-
Ms.Vihangi Shah,Advance for Travelling,0 .44,0 .44,-,-
Mr.Tirth Shah,Advance for Travelling,2 .61,0 .07,0.14,-
