For the,Name of the related party,"Nature of
Relationship",Nature of transactions,"As on September
2025","As on
March 2025","As on
March 2024","As on
March 2023"
GSP Crop Science Private Limited,Indo GSP Chemicals Private Limited*,Subsidiary,Sale of Products,-,-,-,5 03.99
GSP Crop Science Private Limited,Rajdhani Petrochemicals Private Limited,Subsidiary,Purchase of Products,312.88,261.52,86.99,-
GSP Crop Science Private Limited,Rajdhani Petrochemicals Private Limited,Subsidiary,Sale of Products,-,-,-,1 60.95
GSP Crop Science Private Limited,GSP Intermediates Private Limited,Subsidiary,Sale of Products,-,3.12,-,-
GSP Crop Science Private Limited,GSP Intermediates Private Limited,Subsidiary,Loan Given,604.27,4 04.77,4 27.18,-
GSP Crop Science Private Limited,GSP Intermediates Private Limited,Subsidiary,Interest Income,-,34.42,10.83,-
GSP Crop Science Private Limited,GSP Intermediates Private Limited,Subsidiary,Purchase of Products,30.95,,,
GSP Crop Science Private Limited,GSP Intermediates Private Limited,Subsidiary,Sale of Assets,-,-,5.06,-
GSP Crop Science Private Limited,GSP Agroquimica Do Brazil LTDA,Subsidiary,Sale of Products,3 .72,-,-,-
Rajdhani Petrochemicals Private Limited,GSP Crop Science Private Limited,Subsidiary,Sale of Products,312.88,261.52,86.99,-
Rajdhani Petrochemicals Private Limited,GSP Crop Science Private Limited,Subsidiary,Purchase of Products,-,-,-,1 60.95
GSP Intermediates Private Limited,GSP Crop Science Private Limited,Subsidiary,Sale of Products,30.95,-,-,-
GSP Intermediates Private Limited,GSP Crop Science Private Limited,Subsidiary,Loan taken,604.27,404.77,4 27.18,-
GSP Intermediates Private Limited,GSP Crop Science Private Limited,Subsidiary,Interest Expense,-,34.42,10.83,-
GSP Intermediates Private Limited,GSP Crop Science Private Limited,Subsidiary,Purchase of Products,-,3.12,-,-
GSP Intermediates Private Limited,GSP Crop Science Private Limited,Subsidiary,Purchase of Assets,,-,5.06,-
GSP Agroquimica Do Brazil LTDA,GSP Crop Science Private Limited,Subsidiary,Purchase of Products,3 .72,-,-,-
Indo GSP Chemicals Private Limited*,GSP Crop Science Private Limited,Subsidiary,Purchase of Products,-,-,-,5 03.99
