Particulars,Six months ended,"Fiscal ended March 31,
2025 2024 2023",,
,"September 30, 2025",,2024,2023
Total Equity (I),"5,299.4","7 4,518.47","3,704.27","3,637.85"
Less: Non-controlling Interest (II),0.8,6 18.04,(0.41),3.03
Less: Capital Reserve (III),0.1,1 0.11,0.11,0.11
Net Worth (IV = I - II - III),"5,298.5","0 4,500.32","3,704.57","3,634.71"
Continuing Operations,,,,
"Restated Profit for the period / year from
Continuing Operations (V)",810.6,5 814.20,555.40,175.73
Less: Non Controlling Interest (VI),(17.18,) (13.03),(0.42),1.63
"Restated Profit for the period / year from
Continuing Operations attributable to equity share
holders of the parent (VII = V - VI)",827.8,3 827.23,555.82,174.10
Return on Net Worth (VIII = VII/IV),15.62%,18.38%,15.00%,4.79%
