Particulars*,,,Pre-Offer as at,,,As adjusted for the,
,,,"September 30, 2025 (1)",,,proposed Offer #(2),
Borrowings,,,,,,,
Current borrowings (excluding current maturity)(3),,"2,283.20",,,[●],,
Non-current borrowings (including current maturity)(4),,928.07,,,[●],,
Total Borrowings(5),(A),"3,211.27",,,[●],,
Shareholders’ funds:,,,,,,,
Equity share capital(6),,390.19,,,[●],,
Other equity(7),,"4,908.42",,,[●],,
Total Equity,(B),"5,298.61",,,[●],,
Ratio: Total borrowings / total equity (in times),(A)/(B),0.61,,,[●],,
