Category of Borrowing,Sanctioned Amount,Amount outstanding as on
,,"December 31, 2025"
Secured,,
Fund Based Borrowings,,
Term Loan,"1,655.70",845.49
Working Capital Demand Loan and Cash Credit,"2,275.00","1,978.16"
Vehicle Loan,15.20,4.18
Total fund based borrowings (A),"3,945.90","2,827.84"
Non Fund Based Borrowings,,
Working Capital,"1,650.00","1,360.90"
Credit Exposure Limit,55.00,-
Total Non Fund Based Borrowings (B),"1,705.00","1,360.90"
Total Secured Borrowings (A+B),"5,650.90","4,188.74"
Unsecured Borrowings,,
Working Capital Demand Loan,550.00,550.00
Unsecured Fund Based Borrowings -,200.00,50.25
Total Unsecured Borrowings (C),750.00,600.25
Total Borrowings (A + B + C),"6,400.90","4,788.99"
