page,table_index,rows,cols,csv_file,csv_path
349,0,6,7,page_0349_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\GSP CROP SCIENCE LIMITED - RHP\dumped_tables\page_0349_table_00.csv
350,0,11,6,page_0350_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\GSP CROP SCIENCE LIMITED - RHP\dumped_tables\page_0350_table_00.csv
351,0,18,6,page_0351_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\GSP CROP SCIENCE LIMITED - RHP\dumped_tables\page_0351_table_00.csv
352,0,14,5,page_0352_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\GSP CROP SCIENCE LIMITED - RHP\dumped_tables\page_0352_table_00.csv
353,0,7,6,page_0353_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\GSP CROP SCIENCE LIMITED - RHP\dumped_tables\page_0353_table_00.csv
353,1,7,6,page_0353_table_01.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\GSP CROP SCIENCE LIMITED - RHP\dumped_tables\page_0353_table_01.csv
353,2,7,6,page_0353_table_02.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\GSP CROP SCIENCE LIMITED - RHP\dumped_tables\page_0353_table_02.csv
353,3,6,6,page_0353_table_03.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\GSP CROP SCIENCE LIMITED - RHP\dumped_tables\page_0353_table_03.csv
354,0,3,5,page_0354_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\GSP CROP SCIENCE LIMITED - RHP\dumped_tables\page_0354_table_00.csv
354,1,10,9,page_0354_table_01.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\GSP CROP SCIENCE LIMITED - RHP\dumped_tables\page_0354_table_01.csv
355,0,6,6,page_0355_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\GSP CROP SCIENCE LIMITED - RHP\dumped_tables\page_0355_table_00.csv
360,0,4,2,page_0360_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\GSP CROP SCIENCE LIMITED - RHP\dumped_tables\page_0360_table_00.csv
373,0,14,10,page_0373_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\GSP CROP SCIENCE LIMITED - RHP\dumped_tables\page_0373_table_00.csv
373,1,14,10,page_0373_table_01.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\GSP CROP SCIENCE LIMITED - RHP\dumped_tables\page_0373_table_01.csv
374,0,14,12,page_0374_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\GSP CROP SCIENCE LIMITED - RHP\dumped_tables\page_0374_table_00.csv
374,1,14,10,page_0374_table_01.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\GSP CROP SCIENCE LIMITED - RHP\dumped_tables\page_0374_table_01.csv
