Class of Assets,Gross Block,,,,Accumulated Depreciation,,,,Net Block
,"As at
April 1, 2024",Additions,Deductions,"As at
March 31, 2025","Upto
April 1, 2024",For the year*,Deductions,"Upto
March 31, 2025","As at
March 31, 2025"
Freehold Land,39.17,15.52,-,54.69,-,-,-,-,54.69
Factory Buildings,633.19,302.39,-,935.58,307.69,44.18,-,351.87,583.71
Factory Equipment,14.49,5.08,-,19.57,12.02,1.47,-,13.49,6.08
Plant & Machinery,"1,307.12",160.50,4.35,"1,463.27",835.10,116.08,1.61,949.57,513.70
Laboratory Equipment,77.56,15.14,-,92.70,57.00,6.47,-,63.47,29.23
Electrical Installation,153.40,78.00,-,231.40,76.20,27.48,-,103.68,127.72
Office Equipments,33.97,8.02,0.84,41.15,22.29,6.34,0.81,27.82,13.33
Office Building,29.76,-,-,29.76,9.74,0.97,-,10.71,19.05
Computers,20.13,4.44,0.11,24.46,16.32,2.85,0.10,19.07,5.39
Furniture & Fixtures,69.07,14.67,-,83.74,35.74,9.43,-,45.17,38.57
Vehicles,41.67,2.11,11.51,32.27,26.31,4.85,10.19,20.97,11.30
Total,"2,419.53",605.87,16.81,"3,008.59","1,398.41",220.12,12.71,"1,605.82","1,402.77"
Class of Assets,Gross Block,,,,Accumulated Amortisation,,,,Net Block
,"As at
April 1, 2024",Additions,Deductions,"As at
March 31, 2025","Upto
April 1, 2024",For the year,On deductions,"Upto
March 31, 2025","As at
March 31, 2025"
Computer softwares,41.97,5.71,-,47.68,3 2.22,6 .26,-,38.48,9.19
Patent,16.10,0.99,-,17.09,6 .15,3.34,-,9.49,7.60
Registration,-,0.17,-,0.17,-,0.02,-,0.02,0.15
Total,5 8.07,6.87,-,64.94,3 8.37,9 .63,-,4 8.00,1 6.94
Class of Assets,Gross Block,,,,Accumulated Depreciation,,,,Total
,"As at
April 1, 2024",Additions,Deductions,"As on
March 31, 2025","Upto
April 1, 2024",For the year*,Deductions,"Upto
March 31, 2025","As at
March 31, 2025"
Leasehold land,718.60,1 .71,-,7 20.31,33.23,4.47,-,37.70,682.61
Offices,13.32,-,-,1 3.32,1.70,2.65,-,4.35,8.97
Total,731.92,1 .71,-,7 33.63,34.93,7.12,-,42.05,691.58
Class of Assets,Gross Block,,,,Accumulated Depreciation,,,,Net Block
,"As at
April 1, 2024",Additions,Deductions,"As at
March 31, 2025","Upto
April 1, 2024",For the year,Deductions,"Upto
March 31, 2025","As at
March 31, 2025"
Goodwill,31.26,-,-,3 1.26,-,-,-,-,31.26
Total,31.26,-,-,3 1.26,-,-,-,-,31.26
