Particulars,Amount in CWIP for a Period of,,,,Total
,Less than 01 Year,1-2 Years,2-3 Years,More than 03 Years,
Project in progress,228.20,161.65,8.73,5.85,404.43
Total,228.20,161.65,8.73,5.85,404.43
Particulars,Amount in CWIP for a Period of,,,,Total
,Less than 01 Year,1-2 Years,2-3 Years,More than 03 Years,
Project in progress,251.30,143.04,1.13,5.55,401.02
Total,251.30,143.04,1.13,5.55,401.02
Particulars,Amount in CWIP for a Period of,,,,Total
,Less than 01 Year,1-2 Years,2-3 Years,More than 03 Years,
Project in progress,476.79,1.13,4.23,1.85,484.00
Total,476.79,1.13,4.23,1.85,484.00
Particulars,Amount in CWIP for a Period of,,,,Total
,Less than 01 Year,1-2 Years,2-3 Years,More than 03 Years,
Project in progress,129.87,13.82,-,1.85,145.53
Total,129.87,13.82,-,1.85,145.53
Particulars,Amount in intangible assets under development for a Period of,,,,Total
,Less than 01 Year,1-2 Years,2-3 Years,More than 03 Years,
Project in progress,,,,,
Patent,8.89,4.39,8.71,0.34,22.33
Registration **,102.82,21.79,-,-,124.61
Others,0.15,-,-,-,0.15
Total,111.86,26.18,8.71,0.34,147.09
Particulars,Amount in intangible assets under development for a Period of,,,,Total
,Less than 01 Year,1-2 Years,2-3 Years,More than 03 Years,
Project in progress,,,,,
Patent,7.98,4.39,8.71,0.34,21.42
Registration **,72.31,5.40,-,-,77.71
Total,80.29,9.79,8.71,0.34,99.13
Particulars,Amount in intangible assets under development for a Period of,,,,Total
,Less than 01 Year,1-2 Years,2-3 Years,More than 03 Years,
Project in progress,,,,,
Patent,13.11,-,-,0.34,13.45
Registration **,11.42,-,-,-,11.42
Others,-,-,0.20,-,0.20
Total,24.53,-,0.20,0.34,25.07
Particulars,Amount in intangible assets under development for a Period of,,,,Total
,Less than 01 Year,1-2 Years,2-3 Years,More than 03 Years,
Project in progress,,,,,
Patent,8.81,-,-,0.39,9.20
Registration **,-,-,-,-,-
Others,1.58,0.20,-,-,1.78
Total,10.39,0.20,0.00,0.39,10.98
