"(1) Capital Reserve
Opening Balance
Increase/(Decrease) during the period/year","0.11
-","0.11
-","0.11
-","0.11
-"
Closing balance,0.11,0.11,0.11,0.11
"(2) Capital Redemption Reserve
Opening Balance
Add: Pursuant to Buyback of Shares (Refer note 18(f))
Less: Pursuant to Issuance of Bonus Shares (Refer note 18(f))","-
-
-","34.67
-
34.67","20.00
14.67
-","-
20.00
-"
Closing balance,-,-,34.67,20.00
"(3) Securities Premium
Opening Balance
Less: Pursuant to Buyback of Shares (Refer note 18(f))","-
-","-
-","-
-","944.51
944.51"
Closing balance,-,-,-,-
"(4) General Reserve
Opening Balance
Less: Pursuant to Buyback of Shares (Refer note 18(f))
Less: Pursuant to Tax on Buyback of Shares (Refer note 18(f))
Less: Pursuant to Issuance of Bonus Shares (Refer note 18(f))","7 68.55
-
-
-","863.94
-
-
95.39","1 ,391.33
503.51
23.88
-","1 ,681.10
160.39
129.38
-"
Closing balance,7 68.55,768.55,863.94,"1 ,391.33"
Closing balance,"4 ,139.77","3 ,341.59","2 ,545.83","1 ,948.58"
"(6) Foreign Currency Translation Reserve
Opening Balance
Foreign Currency Translation Reserve during the period/year","0.39
2.62","-
0.39","-
-","-
-"
Closing balance,3 .01,0 .39,-,-
Opening balance,1 9.15,12.94,10.92,10.77
Add: Provision made during the period/ year,4.89,9.61,5.64,3.83
Less: Benefits paid during the period/ year,1.56,3.40,3.62,3.68
Closing balance,2 2.48,19.15,12.94,10.92
Opening balance,-,-,-,8.66
Add: Additional provision made during the period/ year,-,-,-,-
Less: Paid during the period/ year,-,-,-,8.66
Closing balance,-,-,-,-
Opening balance,3 27.52,343.62,388.37,393.21
Add: Additional provision made during the period/ year,6 36.88,327.52,343.62,388.37
Less: Utilised during the period/ year,3 27.52,343.62,388.37,393.21
Closing balance,6 36.88,327.52,343.62,388.37
