Particulars,Outstanding for the following period from due date of payments,,,,,
,Not Due,Less than 1 year,1-2 years,2-3 years,"More than 03
Years",Total
(I) Micro and Small Enterprises,7 0.02,14.51,-,-,-,8 4.53
(II) Others (including Acceptances),"4 ,059.03",654.65,1 1.02,5.50,0.16,"4 ,730.36"
(III) Disputed dues - Micro and Small Enterprises,-,-,-,-,-,-
(IV) Disputed dues -Others,-,-,-,-,-,-
Total,"4,129.05",669.16,1 1.02,5.50,0.16,"4,814.89"
Particulars,Outstanding for the following period from due date of payments,,,,,
,Not Due,Less than 1 year,1-2 years,2-3 years,"More than 03
Years",Total
(I) Micro and Small Enterprises,6 6.30,24.09,-,-,-,9 0.39
(II) Others (including Acceptances),"2 ,802.33",520.13,2 0.15,3.28,-,"3 ,345.89"
(III) Disputed dues - Micro and Small Enterprises,-,-,-,-,-,-
(IV) Disputed dues -Others,-,-,-,-,-,-
Total,"2,868.63",544.22,2 0.15,3.28,-,"3,436.28"
Particulars,Outstanding for the following period from due date of payments,,,,,
,Not Due,Less than 1 year,1-2 years,2-3 years,"More than 03
Years",Total
(I) Micro and Small Enterprises,5 7.68,10.50,-,-,-,6 8.18
(II) Others (including Acceptances),"1 ,759.31",485.88,8 .23,1.00,5.13,"2 ,259.55"
(III) Disputed dues - Micro and Small Enterprises,-,-,-,-,-,-
(IV) Disputed dues -Others,-,-,-,-,-,-
Total,"1,816.99",496.38,8 .23,1.00,5.13,"2,327.73"
Particulars,Outstanding for the following period from due date of payments,,,,,
,Not Due,Less than 1 year,1-2 years,2-3 years,"More than 03
Years",Total
(I) Micro and Small Enterprises,5 9.64,3.60,-,-,-,6 3.24
(II) Others (including Acceptances),"2 ,588.98",847.79,7 .29,2.89,5.88,"3 ,452.83"
(III) Disputed dues - Micro and Small Enterprises,-,-,-,-,-,-
(IV) Disputed dues -Others,-,-,-,-,-,-
Total,"2,648.62",851.39,7 .29,2.89,5.88,"3,516.07"
