"Sale of Products
Sale of Services
Other Operating Revenues
Export Incentives
Tax Rebate Income
Miscellaneous Receipts","8,403.81
30.86
7.24
-
1.00","12,456.13
370.63
15.99
29.91
1.19","11,501.84
-
6.03
11.09
2.65","12,003.47
0.08
26.75
0.48
2.31"
Total,"8,442.91","12,873.85","11,521.61","12,033.09"
Stock-in-trade,23.73,124.10,107.70,215.24
Total,23.73,124.10,107.70,215.24
"Inventories (at the end of the period/ year)
Finished goods
Stock-in-trade
Work-in-process
Inventories (at the beginning of the year)
Finished goods
Stock-in-trade
Work-in-process","1,987.06
431.49
87.76","2,705.93
43.02
45.85","1,313.83
185.36
21.31","1,996.96
380.31
45.29"
,"2,506.31","2,794.80","1,520.50","2,422.56"
,"2,705.93
43.02
45.85","1,313.83
185.36
21.31","1,996.96
380.31
45.29","1,667.79
529.65
24.23"
,"2,794.80","1,520.50","2,422.56","2,221.67"
Changes in Inventory,2 88.49,"( 1,274.30)",902.06,(200.89)
Insurance Fund,55.04,44.98,47.57,42.11
Total,55.04,44.98,47.57,42.11
"1st Following Year
2nd Following Year
3rd Following Year
4th Following Year
5th Following Year
Sum of Years 6 to 10
Sum of Years 11 and above","11.03
9.46
10.54
9.10
10.91
36.87
36.75","10.33
9.32
8.71
9.08
9.83
35.49
34.54","6.60
6.76
6.69
6.44
5.92
28.64
30.08","5.79
5.46
5.88
5.60
5.39
25.12
27.83"
