Name of the entity,"Net Assets, i.e., total assets
minus total liabilities",,Share in profit or loss,,"Share in other comprehensive
income",,"Share in total comprehensive
income",
,"As % of
consolidated
net assets",Amount,"As % of
consolidated
profit or loss",Amount,"As % of
consolidated
other
comprehensive
income",Amount,"As % of
consolidated
total
comprehensive
income",Amount
"Billionbrains Garage
Ventures Limited (formerly
known as Billionbrains
Garage Ventures Private
Limited)",84.66%,"50,759.17",79.14%,"2,994.53",54.69%,(7.10),79.23%,"2,987.43"
Subsidiaries,,,,,,,,
"GrowwInvestTechPrivate
Limited(formerlyknownas
Nextbillion Technology
Private Limited)",23.39%,"14,023.46",24.69%,934.19,41.24%,(5.35),24.63%,928.84
"Groww IFSC Private
Limited",0.03%,19.38,0.00%,(0.14),0.23%,(0.03),0.00%,(0.17)
"Groww Asset Management
Limited(formerlyknownas
Indiabulls Asset
Management Company
Limited)",2.76%,"1,654.80",-3.01%,(113.98),0.00%,-,-3.02%,(113.98)
"Groww Trustee Limited
(formerly known as
Indiabulls Trustee
Company Limited)",0.00%,(2.06),-0.09%,(3.26),0.00%,-,-0.09%,(3.26)
"Neobillion Fintech Private
Limited",0.03%,17.45,0.00%,0.01,0.00%,-,0.00%,0.01
"GrowwPayServicePrivate
Limited",0.35%,211.27,-0.38%,(14.29),0.00%,-,-0.38%,(14.29)
Groww Serv Private Limited,0.11%,67.34,0.17%,6.40,0.00%,-,0.17%,6.40
"BillionblocksFinservPrivate
Limited",0.01%,3.95,0.00%,0.01,0.00%,-,0.00%,0.01
"Groww Insurance Broking
Private Limited",0.02%,13.00,0.00%,0.15,0.00%,-,0.00%,0.15
"Groww Creditserv
Technology Private Limited",10.99%,"6,588.43",0.21%,7.80,3.85%,(0.50),0.19%,7.30
"GrowwWealthTechPrivate
Limited(formerlyknownas
Groww Wealth
Management Private
Limited)",0.08%,49.32,-0.61%,(22.94),0.00%,-,-0.61%,(22.94)
Subtotal,122.43%,"73,405.51",100.13%,"3,788.47",100.00%,(12.98),100.13%,"3,775.49"
"Adjustments arising out of
consolidation",-22.43%,"(13,450.07)",-0.13%,(4.80),0.00%,-,-0.13%,(4.80)
"Less: Non-controlling
interests",0.00%,-,0.00%,-,0.00%,-,0.00%,-
Total,100.00%,"59,955.44",100.00%,"3,783.67",100.00%,(12.98),100.00%,"3,770.74"
