Particulars,,"Three months, June 30",,,,,"Fiscal Year, ended",,,,,
,,2025,,,2024,,2025,,2024,,2023,
,,₹ million,(%) of,,₹ million,"(%) of
total
income",₹ million,"(%) of
total
income",₹ million,"(%) of
total
income",₹ million,"(%) of
total
income"
,,,total,,,,,,,,,
,,,income,,,,,,,,,
Revenue from,,"9,043.98",95.35,,"10,007.94",95.53,"39,017.23",96.06,"26,092.81",93.32,"11,415.26",90.53
operations,,,,,,,,,,,,
Other income,,440.73,4.65,,467.84,4.47,"1,599.22",3.94,"1,867.09",6.68,"1,194.34",9.47
Total income,,"9,484.71",100.00,,"10,475.78",100.00,"40,616.45",100.00,"27,959.90",100.00,"12,609.60",100.00
"Employee benefits
expense",,"1,366.25",14.40,,"2,484.77",23.72,"3,151.75",7.76,"11,880.26",42.49,"2,867.55",22.74
expense,,,,,,,,,,,,
Finance costs,,164.19,1.73,,18.18,0.17,425.49,1.05,41.98,0.15,20.72,0.16
Depreciation and,,71.39,0.75,,51.95,0.50,246.00,0.61,201.15,0.72,122.96,0.98
amortisation,,,,,,,,,,,,
expense,,,,,,,,,,,,
Other expenses,,"2,844.84",29.99,,"3,335.65",31.84,"12,141.62",29.89,"8,557.71",30.61,"4,559.95",36.16
Total expenses,,"4,446.67",46.87,,"5,890.55",56.23,"15,964.86",39.31,"20,681.10",73.97,"7,571.18",60.04
"Profit/(loss)
before
exceptional
items, share of
net loss of
associate and
tax",,"5,038.04",53.13,,"4,585.23",43.77,"24,651.59",60.69,"7,278.80",26.03,"5,038.42",39.96
before,,,,,,,,,,,,
exceptional,,,,,,,,,,,,
"items, share of",,,,,,,,,,,,
net loss of,,,,,,,,,,,,
associate and,,,,,,,,,,,,
tax,,,,,,,,,,,,
Share of net loss,,(6.25),(0.07),,-,-,(13.77),(0.03),(66.78),(0.24),-,-
of associate,,,,,,,,,,,,
accounted for,,,,,,,,,,,,
using equity,,,,,,,,,,,,
method (net of,,,,,,,,,,,,
tax),,,,,,,,,,,,
Exceptional item,,-,-,,-,-,-,-,"(13,396.84)",(47.91),-,-
(taxes),,,,,,,,,,,,
"Profit/(Loss)
before income
tax",,"5,031.79",53.06,,"4,585.23",43.77,"24,637.82",60.66,"(6,184.82)",(22.12),"5,038.42",39.96
before income,,,,,,,,,,,,
tax,,,,,,,,,,,,
Tax expense,,,,,,,,,,,,
Current tax,,,,,,,,,,,,
(i) for current,,"1,330.55",14.03,,"1,626.24",15.52,"6,160.39",15.17,"2,275.80",8.14,445.88,3.54
period/year,,,,,,,,,,,,
(ii) relating to,,-,-,,-,-,2.71,0.01,32.78,0.12,-,-
earlier years,,,,,,,,,,,,
Deferred tax,,(82.43),(0.87),,(421.14),(4.02),230.99,0.57,(438.90),(1.57),15.37,0.12
(credit)/expense,,,,,,,,,,,,
Total tax,,"1,248.12",13.16,,"1,205.10",11.50,"6,394.09",15.75,"1,869.68",6.69,461.25,3.66
expense,,,,,,,,,,,,
Profit/(Loss) for,,"3,783.67",39.90,,"3,380.13",32.27,"18,243.73",44.91,"(8,054.50)",(28.81),"4,577.17",36.30
the period/year,,,,,,,,,,,,
Other,,(12.98),(0.14),,(0.31),(0.00),373.03,0.92,(3.93),(0.01),6.30,0.05
comprehensive,,,,,,,,,,,,
"income / (loss),",,,,,,,,,,,,
net of tax,,,,,,,,,,,,
"Total
comprehensive
income/(loss) for
the period/year",,"3,770.69",39.76,,"3,379.82",32.26,"18,616.76",45.83,"(8,058.43)",(28.82),"4,583.47",36.35
