,Particulars,,,"Three months June 30,",,,,,,"Fiscal Year, ended",,,,,,,
,,,,2025,,,2024,,,2025,,,2024^,,,2023,
,Profit/(loss) for the period/year,,,"3,783.67",,,"3,380.13",,,"18,243.73",,,"(8,054.50)",,,"4,577.17",
,Add: Total tax expense,,,"1,248.12",,,"1,205.10",,,"6,394.09",,,"1,869.68",,,461.25,
,Add: Finance costs,,,164.19,,,18.18,,,425.49,,,41.98,,,20.72,
,Add: Depreciation and,,71.39,71.39,,51.95,51.95,,246.00,246.00,,201.15,201.15,,122.96,122.96,
,amortisation expense,,,,,,,,,,,,,,,,
,EBITDA,,,"5,267.37",,,"4,655.36",,,"25,309.31",,,"(5,941.69)",,,"5,182.10",
,Less: Other income,,,(440.73),,,(467.84),,,"(1,599.22)",,,"(1,867.09)",,,"(1,194.34)",
,EBITDA (excluding Other,,"4,826.64","4,826.64",,"4,187.52","4,187.52",,"23,710.09","23,710.09",,"(7,808.78)","(7,808.78)",,"3,987.76","3,987.76",
,income),,,,,,,,,,,,,,,,
