,Particulars,,,"Three months June 30,",,,,,,"Fiscal Year, ended",,,,
,,,,2025,,,2024,,,2025,,2024,2023,
,Total Expenses,,,"4,446.67",,,"5,890.55",,,"15,964.86",,"20,681.10","7,571.18",
,Less: Finance costs,,,(164.19),,,(18.18),,,(425.49),,(41.98),(20.72),
,Less: Depreciation and,,(71.39),(71.39),,(51.95),(51.95),,(246.00),,(201.15),,(122.96),
,amortisation expense,,,,,,,,,,,,,
,Less: Marketing and business,,"(1,084.77)",,,"(1,822.68)",,,"(4,875.80)",,"(4,489.22)",,"(2,438.25)",
,promotion expenses,,,,,,,,,,,,,
,"Less: Software, server and",,"(1,043.47)",,,(948.99),,,"(4,408.99)",,"(2,641.45)",,"(1,352.34)",
,technology expenses,,,,,,,,,,,,,
"Less: Transaction and other related
charges",Less: Transaction and other related,,(294.99),,,(274.66),,,"(1,295.47)",,(632.97),,(457.15),
Cost to Operate,,,,"1,787.86",,,"2,774.09",,,"4,713.11",,"12,674.33","3,179.76",
,Less: Share Based Payments,,,(239.06),,,(56.62),,,(401.52),,(206.66),(175.25),
,Less: one time performance based,,-,-,,-,-,,-,,"(7,786.00)",,-,
,incentive,,,,,,,,,,,,,
Add/(less): long term incentive,,,,-,,,"(1,592.54)",,,"1,061.69",,"(1,061.69)",-,
,Adjusted Cost to Operate,,,"1,548.80",,,"1,124.93",,,"5,373.28",,"3,619.98","3,004.51",
