Particulars,,"Pre-Offer as at
June 30, 2025",As adjusted for the Offer^,
,Borrowings,,,
"Non-current borrowings (other than debt
securities) (including current maturities of long-
term borrowings)",,"1,633.65",[●],
Current borrowings (other than debt securities),,"1,607.16",[●],
Total borrowings (A),,"3,240.81",[●],
,Equity,,,
Share capital (B),,"4,887.67",[●],
Other equity* (C),,"55,066.82",[●],
Total equity (D=B+C),,"59,954.49",[●],
Total Capitalization,,"63,195.30",,
"Ratio: Non-current borrowings (including current
maturities of long-term borrowings) /Total equity",,0.03,[●],
Ratio: Total borrowings/Total equity (A/D),,0.05,[●],
