,,,,,,+/- % change in,,+/- % change in
,,,,,,,+/- % change in,
,,,,,,"closing price, [+/-",,closing
,,,,,,,"closing price, [+/- %",
,,,,,Opening price,% change in,,"price, [+/- % change"
Sr.,,Issue size,Issue,,,,change in closing,
,Issue name,,,Listing date,on listing date,closing,,in
No.,,(₹ millions),price (₹),,,,benchmark]- 90th,
,,,,,(in ₹),benchmark]- 30th,,closing benchmark]-
,,,,,,,calendar days from,
,,,,,,calendar days from,,180th calendar days
,,,,,,,listing,
,,,,,,listing,,from listing
1,Rubicon Research Limited&(2),"13,775.00",485.00,"October 16, 2025",620.00,-,-,-
2,"Canara Robeco Asset
Management Company
Limited(2)","13,261.26",266.00,"October 16, 2025",280.25,-,-,-
3,LG Electronics India Limited$(2),"116,047.32","1,140.00","October 14, 2025","1,710.10",-,-,-
4,Tata Capital Limited(2),"155,118.72",326.00,"October 13, 2025",330.00,-,-,-
5,Atlanta Electricals Limited#(1),"6,873.41",754.00,"September 29, 2025",858.10,"+27.82%, [+5.30%]",-,-
6,Euro Pratik Sales Limited@ (2),"4,513.15",247.00,"September 23, 2025",272.10,"+3.08%, [+2.68%]",-,-
7,"Bluestone Jewellery And
Lifestyle Limited(2)","15,406.50",517.00,"August 19, 2025",510.00,"+15.13%, [+1.40%]",-,-
8,JSW Cement Limited(2),"36,000.00",147.00,"August 14, 2025",153.50,"+1.17%, [+1.96%]",-,-
9,"National Securities Depository
Limited*(1)","40,109.54",800.00,"August 6, 2025",880.00,"+54.48%, [+0.22%]",-,-
10,Oswal Pumps Limited(2),"13,873.40",614.00,"June 20, 2025",634.00,"+17.96%, [-0.57%]","+29.28%, [+0.87%]",-
