page,table_index,rows,cols,csv_file,csv_path
313,0,11,6,page_0313_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\Groww Billionbrains Garage Ventures Limited - RHP\dumped_tables\page_0313_table_00.csv
315,0,9,4,page_0315_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\Groww Billionbrains Garage Ventures Limited - RHP\dumped_tables\page_0315_table_00.csv
315,1,8,12,page_0315_table_01.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\Groww Billionbrains Garage Ventures Limited - RHP\dumped_tables\page_0315_table_01.csv
316,0,8,12,page_0316_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\Groww Billionbrains Garage Ventures Limited - RHP\dumped_tables\page_0316_table_00.csv
331,0,8,11,page_0331_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\Groww Billionbrains Garage Ventures Limited - RHP\dumped_tables\page_0331_table_00.csv
331,1,8,11,page_0331_table_01.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\Groww Billionbrains Garage Ventures Limited - RHP\dumped_tables\page_0331_table_01.csv
331,2,8,11,page_0331_table_02.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\Groww Billionbrains Garage Ventures Limited - RHP\dumped_tables\page_0331_table_02.csv
331,3,8,11,page_0331_table_03.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\Groww Billionbrains Garage Ventures Limited - RHP\dumped_tables\page_0331_table_03.csv
331,4,8,11,page_0331_table_04.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\Groww Billionbrains Garage Ventures Limited - RHP\dumped_tables\page_0331_table_04.csv
332,0,4,11,page_0332_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\Groww Billionbrains Garage Ventures Limited - RHP\dumped_tables\page_0332_table_00.csv
332,1,4,11,page_0332_table_01.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\Groww Billionbrains Garage Ventures Limited - RHP\dumped_tables\page_0332_table_01.csv
332,2,4,6,page_0332_table_02.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\Groww Billionbrains Garage Ventures Limited - RHP\dumped_tables\page_0332_table_02.csv
332,3,5,11,page_0332_table_03.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\Groww Billionbrains Garage Ventures Limited - RHP\dumped_tables\page_0332_table_03.csv
332,4,5,11,page_0332_table_04.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\Groww Billionbrains Garage Ventures Limited - RHP\dumped_tables\page_0332_table_04.csv
332,5,5,11,page_0332_table_05.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\Groww Billionbrains Garage Ventures Limited - RHP\dumped_tables\page_0332_table_05.csv
332,6,5,11,page_0332_table_06.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\Groww Billionbrains Garage Ventures Limited - RHP\dumped_tables\page_0332_table_06.csv
332,7,4,11,page_0332_table_07.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\Groww Billionbrains Garage Ventures Limited - RHP\dumped_tables\page_0332_table_07.csv
333,0,2,5,page_0333_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\Groww Billionbrains Garage Ventures Limited - RHP\dumped_tables\page_0333_table_00.csv
333,1,2,5,page_0333_table_01.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\Groww Billionbrains Garage Ventures Limited - RHP\dumped_tables\page_0333_table_01.csv
333,2,2,5,page_0333_table_02.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\Groww Billionbrains Garage Ventures Limited - RHP\dumped_tables\page_0333_table_02.csv
333,3,2,5,page_0333_table_03.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\Groww Billionbrains Garage Ventures Limited - RHP\dumped_tables\page_0333_table_03.csv
333,4,2,5,page_0333_table_04.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\Groww Billionbrains Garage Ventures Limited - RHP\dumped_tables\page_0333_table_04.csv
335,0,12,10,page_0335_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\Groww Billionbrains Garage Ventures Limited - RHP\dumped_tables\page_0335_table_00.csv
335,1,4,10,page_0335_table_01.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\Groww Billionbrains Garage Ventures Limited - RHP\dumped_tables\page_0335_table_01.csv
335,2,4,10,page_0335_table_02.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\Groww Billionbrains Garage Ventures Limited - RHP\dumped_tables\page_0335_table_02.csv
339,0,2,8,page_0339_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\Groww Billionbrains Garage Ventures Limited - RHP\dumped_tables\page_0339_table_00.csv
341,0,4,6,page_0341_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\Groww Billionbrains Garage Ventures Limited - RHP\dumped_tables\page_0341_table_00.csv
341,1,4,6,page_0341_table_01.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\Groww Billionbrains Garage Ventures Limited - RHP\dumped_tables\page_0341_table_01.csv
341,2,4,6,page_0341_table_02.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\Groww Billionbrains Garage Ventures Limited - RHP\dumped_tables\page_0341_table_02.csv
341,3,4,6,page_0341_table_03.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\Groww Billionbrains Garage Ventures Limited - RHP\dumped_tables\page_0341_table_03.csv
341,4,4,6,page_0341_table_04.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\Groww Billionbrains Garage Ventures Limited - RHP\dumped_tables\page_0341_table_04.csv
347,0,13,6,page_0347_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\Groww Billionbrains Garage Ventures Limited - RHP\dumped_tables\page_0347_table_00.csv
348,0,11,6,page_0348_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\Groww Billionbrains Garage Ventures Limited - RHP\dumped_tables\page_0348_table_00.csv
