Particulars,As at/ for,As at/ for,As at/ for,As at/ for,As at/ for the
,the three,the three,the year,the year,year ended
,months,months,ended,ended,"March 31,"
,period,period,"March 31,","March 31,",2023
,ended,ended June,2025,2024,
,"June 30,","30, 2024",,,
,2025,,,,
"Total assets
(before
consolidation
adjustments)","12,520.98","10,890.09","12,185.98","8,433.40","1,072.00"
"Revenue from
operations (before
consolidation
adjustments)",689.29,526.55,"2,582.79","1,073.50",446.20
"Net cash inflows
/(outflows) (before
consolidation
adjustments)",(89.22),69.16,50.47,(141.00),(30.20)
"Share of loss in its
associate",(6.25),-,(13.77),-,-
