Description,Gross Carrying amount,,,,,Accumulated depreciation,,,,"Carrying amount
(net)"
,"As at
01 April 2023","Additions pursuant
to business
combination",Additions,Deletions,"As at
31 March 2024","As at
01 April 2023",For the Year,Deletions,"As at
31 March 2024","As at
31 March 2024"
"Computers, Laptops and Peripherals",1 92.34,1 .26,53.64,( 19.57),227.67,92.48,65.19,(18.89),138.78,8 8.89
Furnitures & Fixtures,0 .64,-,0.65,-,1.29,0.14,0.07,-,0.21,1.08
Office Equipments,2 2.85,-,10.21,-,33.06,2.04,5.92,-,7.96,2 5.11
Network Equipments,1 6.27,-,0.04,-,16.31,1.06,2.72,-,3.78,1 2.52
Leasehold improvements,2 .92,-,2.57,-,5.49,0.27,1.72,-,1.99,3.51
Grand Total,2 35.02,1 .26,67.12,( 19.57),283.82,95.99,75.62,(18.89),152.72,1 31.11
Description,Gross Carrying amount,,,,,Accumulated amortisation,,,,"Carrying amount
(net)"
,"As at
01 April 2023","Additions pursuant
to business
combination",Additions,Deletions,"As at
31 March 2024","As at
01 April 2023",For the Year,Deletions,"As at
31 March 2024","As at
31 March 2024"
Software,5.03,-,-,-,5.03,0.29,0.50,-,0.79,4.24
License,-,432.50,-,-,432.50,-,-,-,-,432.50
Total,5.03,432.50,-,-,437.53,0.29,0.50,-,0.79,436.74
