Particulars,,,,Outstanding as at 30 June 2025 for following periods from date of transaction,,,,,Total
,,,,"Less than 6
month",6 months - 1 year,1-2 years,2-3 years,More than 3 years,
"(i) Undisputed Trade receivables – considered good
(ii) Undisputed Trade Receivables – credit impaired
Less: Loss allowance
Add: Unbilled revenue",,,,"838.91
68.71","-
2.26","-
29.26","-
1 .11","-
1.30","8 38.91
1 02.64
(102.64)
3 53.94"
Total,,,,,,,,,"1 ,192.85"
Particulars,,,,Outstanding as at 30 June 2024 for following periods from date of transaction,,,,,Total
,,,,"Less than 6
month",6 months - 1 year,1-2 years,2-3 years,More than 3 years,
"(i) Undisputed Trade receivables – considered good
(ii) Undisputed Trade Receivables – credit impaired
Less: Loss allowance
Add: Unbilled revenue",,,,"772.67
29.30","-
1.93","-
3.76","-
4 .21","-
1.30","7 72.67
4 0.50
(40.50)
2 10.93"
Total,,,,,,,,,9 83.60
Particulars,,,,Outstanding as at 31 March 2025 for following periods from date of transaction,,,,,Total
,,,,"Less than 6
month",6 months - 1 year,1-2 years,2-3 years,More than 3 years,
"(i) Undisputed Trade receivables – considered good
(ii) Undisputed Trade Receivables – credit impaired
Less: Loss allowance
Add: Unbilled revenue",,,,"621.89
62.15","-
1.50","-
30.76","-
1 .30","-
1.14","6 21.89
9 6.85
(96.85)
3 46.03"
Total,,,,,,,,,9 67.92
