,,,,,,,,+/- % change in
,,,,,,+/- % change in,+/- % change in,
,,,,,,,,closing
,,,,,,"closing price, [+/- %","closing price, [+/- %",
,,,,,Opening price,,,"price, [+/- % change"
Sr.,,Issue size,Issue,,,change in closing,change in closing,
,Issue name,,,Listing date,on listing date,,,in
No.,,(₹ millions),price (₹),,,benchmark]- 30th,benchmark]- 90th,
,,,,,(in ₹),,,closing benchmark]-
,,,,,,calendar days from,calendar days from,
,,,,,,,,180th calendar days
,,,,,,listing,listing,
,,,,,,,,from listing
1,Tata Capital Limited,"155,118.70",326.00,"October 13,
2025",330.00,Not applicable,Not applicable,Not applicable
2,"WeWork India
Management Limited","29,996.43",648.001,"October 10,
2025",650.00,Not applicable,Not applicable,Not applicable
3,Urban Company Limited,"19,000.00",103.002,"September 17,
2025",162.25,"53.83%, [1.01%]",Not applicable,Not applicable
4,"Bluestone Jewellery and
Lifestyle Limited","15,406.50",517.00,"August, 19,
2025",510.00,"15.13%, [1.40%]",Not applicable,Not applicable
5,JSW Cement Limited,"36,000.00",147.00,"August, 14,
2025",153.50,"1.17%, [1.96%]",Not applicable,Not applicable
6,"Smartworks Coworking
Spaces Limited","5,825.55",407.003,"July 17, 2025",435.00,"11.79%, [-1.91%]","32.85%, [0.14%]",Not applicable
7,"Travel Food Services
Limited","20,000.00","1,100.004","July 14, 2025","1,125.00","5.13%, [-2.37%]","22.22%, [0.81%]",Not applicable
8,"Schloss Bangalore
Limited","35,000.00",435.00,"June 2, 2025",406.00,"-6.86%, [3.34%]","-8.17%, [-1.17%]",Not applicable
9,"Hexaware Technologies
Limited","87,500.00",708.005,"February 19,
2025",745.50,"3.45%, [1.12%]","5.16%, [8.78%]","1.31%, [7.41%]"
10,"Dr. Agarwal's Health
Care Limited","30,272.60",402.00,"February 04,
2025",402.00,"3.82%, [-6.18%]","-12.14%, [2.44%]","12.38%, [2.57%]"
,,,,,,,,+/- % change in
,,,,,,+/- % change in,,
,,,,,,,+/- % change in,closing
,,,,,,"closing price, [+/-",,
,,,,,,,"closing price, [+/- %","price, [+/- % change"
,,,,,Opening price,% change in,,
Sr.,,Issue size,Issue,,,,change in closing,in
,Issue name,,,Listing date,on listing date,closing,,
No.,,(₹ millions),price (₹),,,,benchmark]- 90th,closing
,,,,,(in ₹),benchmark]- 30th,,
,,,,,,,calendar days from,benchmark]- 180th
,,,,,,calendar days,,
,,,,,,,listing,calendar days from
,,,,,,from listing,,
,,,,,,,,listing
1,"LG Electronics India
Limited(b)","116,047.32","1,140.001","October 14,
2025","1,710.10",NA,NA,NA
2,Tata Capital Limited(b),"155,118.72",326.00,"October 13,
2025",330.00,NA,NA,NA
3,"Anthem Biosciences Ltd
(a)",".
33,950.00",5702,"July 21, 2025",723.10,43.5% [-0.7%],32.9% [+2.1%],NA
,,,,,,,,+/- % change in
,,,,,,+/- % change in,,
,,,,,,,+/- % change in,closing
,,,,,,"closing price, [+/-",,
,,,,,,,"closing price, [+/- %","price, [+/- % change"
,,,,,Opening price,% change in,,
Sr.,,Issue size,Issue,,,,change in closing,in
,Issue name,,,Listing date,on listing date,closing,,
No.,,(₹ millions),price (₹),,,,benchmark]- 90th,closing
,,,,,(in ₹),benchmark]- 30th,,
,,,,,,,calendar days from,benchmark]- 180th
,,,,,,calendar days,,
,,,,,,,listing,calendar days from
,,,,,,from listing,,
,,,,,,,,listing
4,"Schloss Bangalore Ltd.
(b)","35,000.00",435,"June 02, 2025",406.00,-6.9% [+3.3%],-8.2% [-1.2%],NA
5,"Hexaware Technologies
Ltd. (b)","87,500.00",7083,"February 19,
2025",745.50,+3.5% [+1.1%],+5.2% [+8.8%],+1.3% [+7.4%]
6,"Inventurus Knowledge
Solutions Ltd. (b)","24,979.23","1,329","December 19,
2024","1,900.00",+40.9% [-3.1%],+13.8% [-4.7%],+30.2% [+4.2%]
7,"Vishal Mega Mart Ltd.
(b)","80,000.00",78,"December 18,
2024",104.00,+40.0% [-3.7%],+29.9% [-7.0%],+58.6% [+2.1%]
8,Swiggy Ltd. (b),"113,274.27",3904,"November 13,
2024",420.00,+29.3% [+4.2%],-7.2% [-0.8%],-19.7% [+1.9%]
9,Sagility India Ltd. (b),"21,062.18",305,"November 12,
2024",31.06,+42.9% [+3.2%],+75.4% [-1.4%],+36.1% [+0.5%]
10,"Hyundai Motor India
Ltd. (b)","278,556.83","1,9606","October 22,
2024","1,934.00",-6.6% [-3.9%],-8.7% [-5.2%],-15.2% [-2.5%]
11,"Premier Energies Ltd.
(a)","28,304.00",4507,"September 03,
2024",991.00,+146.9% [+2.1%],+172.4% [-3.3%],+94.0% [-11.3%]
12,"Emcure
Pharmaceuticals Ltd. (b)","19,520.27","1,0088","July 10, 2024","1,325.05",+27.9% [-0.9%],+32.1% [+1.9%],+45.3% [-1.3%]
13,Indegene Ltd. (b),"18,417.59",4529,"May 13, 2024",655.00,+24.3% [+5.3%],+26.9% [+10.2%],"+52.6%, [+9.2%]"
,,,,,,,,+/- % change in
,,,,,,+/- % change in,+/- % change in,
,,,,,,,,closing
,,,,,,"closing price, [+/- %","closing price, [+/- %",
,,,,,Opening price,,,"price, [+/- % change"
Sr.,,Issue size,Issue,,,change in closing,change in closing,
,Issue name,,,Listing date,on listing date,,,in
No.,,(₹ millions),price (₹),,,benchmark]- 30th,benchmark]- 90th,
,,,,,(in ₹),,,closing benchmark]-
,,,,,,calendar days from,calendar days from,
,,,,,,,,180th calendar days
,,,,,,listing,listing,
,,,,,,,,from listing
1,"LG Electronics India
Limited","116,047.32","1,140.00","October 14,
2025",1710.10,NA,NA,NA
2,Tata Capital Limited,"155,118.70",326.00,"October 13,
2025",330.00,NA,NA,NA
3,JSW Cement Limited,"36,000.00",147.00,"August 14,
2025",153.50,+1.17% [+1.96%],NA,NA
4,"Anthem Biosciences
Limited","33,950.00",570.00,"July 21, 2025",723.10,+43.54% [-0.68%],+32.87% [+2.13%],NA
5,"Schloss Bangalore
Limited","35,000.00",435.00,"June 2, 2025",406.00,-6.86% [+3.34%],-8.17% [-1.17%],NA
6,"Hexaware
Technologies Limited","87,500.00",708.00,"February 19,
2025",745.50,+3.45% [+1.12%],+5.16% [+8.78%],+1.31% [+7.41%]
,,,,Listing date,,,,+/- % change in
,,,,,,+/- % change in,+/- % change in,
,,,,,,,,closing
,,,,,,"closing price, [+/- %","closing price, [+/- %",
,,,,,Opening price,,,"price, [+/- % change"
Sr.,,Issue size,Issue,,,change in closing,change in closing,
,Issue name,,,,on listing date,,,in
No.,,(₹ millions),price (₹),,,benchmark]- 30th,benchmark]- 90th,
,,,,,(in ₹),,,closing benchmark]-
,,,,,,calendar days from,calendar days from,
,,,,,,,,180th calendar days
,,,,,,listing,listing,
,,,,,,,,from listing
7,"Ajax Engineering
Limited","12,688.84",629.00,"February 17,
2025",576.00,-2.86% [-0.55%],+6.78% [+8.97%],+12.42% [+7.28%]
