"Financial
Year","Total
no. of
IPOs","Total funds
raised
(₹in Millions)",,Nos. of IPOs trading at,,,,,Nos. of IPOs trading at,,,,,"Nos. of IPOs trading at
discount as on 180th
calendar days from
listing date",,,,,"Nos. of IPOs trading at
premium as on 180th
calendar days from listing
date",,,,
,,,,discount on as on 30th,,,,,premium on as on 30th,,,,,,,,,,,,,,
,,,,calendar days from,,,,,calendar days from,,,,,,,,,,,,,,
,,,,listing date,,,,,listing date,,,,,,,,,,,,,,
,,,"Over
50%",,"Between
25%-50%",Less,,"Over
50%",,"Between
25%-50%",,Less,,"Over
50%","Between
25%-50%",,Less,,"Over
50%","Between
25%-50%",,Less,
,,,,,,than,,,,,,than,,,,,than,,,,,than,
,,,,,,25%,,,,,,25%,,,,,25%,,,,,25%,
2025-2026,4,"340,116",NA,,NA,1,,NA,,1,NA,,,NA,NA,NA,,,NA,NA,NA,,
2024-2025,9,"671,614",NA,,NA,1,,1,,5,2,,,NA,NA,2,,,3,3,1,,
2023-2024,4,"77,481",NA,,NA,NA,,NA,,1,3,,,NA,NA,1,,,1,1,1,,
"Financial
Year","Total
no. of
IPOs","Total funds
raised
(₹in Millions)",,"Nos. of IPOs trading at
discount on as on 30th
calendar days from
listing date",,,,,Nos. of IPOs trading at,,,,,"Nos. of IPOs trading at
discount as on 180th
calendar days from
listing date",,,,,"Nos. of IPOs trading at
premium as on 180th
calendar days from listing
date",,,,
,,,,,,,,,premium on as on 30th,,,,,,,,,,,,,,
,,,,,,,,,calendar days from,,,,,,,,,,,,,,
,,,,,,,,,listing date,,,,,,,,,,,,,,
,,,"Over
50%",,"Between
25%-50%",,"Less
than
25%","Over
50%",,"Between
25%-50%",,Less,,"Over
50%","Between
25%-50%",,Less,,"Over
50%","Between
25%-50%",,Less,
,,,,,,,,,,,,than,,,,,than,,,,,than,
,,,,,,,,,,,,25%,,,,,25%,,,,,25%,
2025-2026*,13,"501,286.30",-,,-,2,,1,,1,5,,,-,-,-,,,-,-,-,,
2024-2025,20,"445,928.65",-,,1,2,,7,,6,4,,,-,3,3,,,9,1,4,,
2023-2024,18,"218,638.22",-,,-,4,,2,,6,6,,,-,-,3,,,7,4,4,,
"Financial
Year","Total
no. of
IPOs","Total funds
raised
(₹in Millions)",,"Nos. of IPOs trading at
discount on as on 30th
calendar days from
listing date",,,,,Nos. of IPOs trading at,,,,,"Nos. of IPOs trading at
discount as on 180th
calendar days from
listing date",,,,,"Nos. of IPOs trading at
premium as on 180th
calendar days from listing
date",,,,
,,,,,,,,,premium on as on 30th,,,,,,,,,,,,,,
,,,,,,,,,calendar days from,,,,,,,,,,,,,,
,,,,,,,,,listing date,,,,,,,,,,,,,,
,,,"Over
50%",,"Between
25%-50%",,"Less
than
25%","Over
50%",,"Between
25%-50%",,Less,,"Over
50%","Between
25%-50%",,Less,,"Over
50%","Between
25%-50%",,Less,
,,,,,,,,,,,,than,,,,,than,,,,,than,
,,,,,,,,,,,,25%,,,,,25%,,,,,25%,
