Particulars,"As at
September 30,
2025","As at
September 30,
2024","As at
March 31, 2025","As at
March 31, 2024","As at
March 31, 2023"
At Amortised Cost,,,,,
(A) Loans,,,,,
Staff Loans,2.2,2.1,2.4,2.6,1.9
Total - Gross,2 .2,2 .1,2 .4,2 .6,1 .9
Less:Impairment loss allowance,-,-,-,-,-
Total - Net,2 .2,2 .1,2 .4,2 .6,1 .9
(B) (i) Secured by tangible assets,-,-,-,-,-
(ii)Secured by intangible assets,-,-,-,-,-
(iii) Covered by Bank/Government Guarantees,-,-,-,-,-
Unsecured,2.2,2.1,2.4,2.6,1.9
Total Gross,2 .2,2 .1,2 .4,2 .6,1 .9
Less: Impairment loss allowance,,,-,-,-
Total Net,2 .2,2 .1,2 .4,2 .6,1 .9
(C) (I) Loans in India,,,,,
(i) Public Sector,,,-,-,-
(ii) Others,2.2,2.1,2.4,2.6,1.9
Total (C)(I)- Gross,2 .2,2 .1,2 .4,2 .6,1 .9
Less: Impairment loss allowance,,,-,-,-
Total(C)(I) -Net,2 .2,2 .1,2 .4,2 .6,1 .9
(C) (II)Loans outside India,-,-,-,-,-
Less: Impairment loss allowance,-,-,-,-,-
Total (C) (II)- Net,-,-,-,-,-
Total C(I) and C(II),2 .2,2 .1,2 .4,2 .6,1 .9
