Particulars,Particulars,
,(i) MSME,(ii) Others
"As at (cid:10)September 30, 2025",,
Unbilled,-,871.4
Not Due,-,-
Outstanding for following periods from Due date:,,
Less than 1 year,7 .4,"1,008.8"
1-2 years,-,66.5
2-3 years,-,35.2
More than 3 years,-,12.8
Total,7.4,"1 ,994.7"
"As at (cid:10)September 30, 2024",,
Unbilled,-,594.8
Not Due,-,-
Outstanding for following periods from Due date:,,
Less than 1 year,7 .0,889.3
1-2 years,-,28.7
2-3 years,-,2 .9
More than 3 years,-,22.5
Total,7.0,"1 ,538.2"
"As at (cid:10)March 31, 2025",,
Unbilled,-,645.4
Not Due,-,-
Outstanding for following periods from Due date:,,
Less than 1 year,8 .1,"1,000.0"
1-2 years,-,70.3
2-3 years,-,21.4
More than 3 years,-,8 .3
Total,8.1,"1 ,745.4"
"As at (cid:10)March 31, 2024",,
Unbilled,-,489.1
Not Due,-,-
Outstanding for following periods from Due date:,,
Less than 1 year,5 .0,656.4
1-2 years,-,28.5
2-3 years,-,13.3
More than 3 years,-,23.4
Total,5.0,"1 ,210.7"
"As at (cid:10)March 31, 2023",,
Unbilled,-,268.7
Not Due,-,-
Outstanding for following periods from Due date:,,
Less than 1 year,0 .2,520.7
1-2 years,-,12.5
2-3 years,-,1 .0
More than 3 years,-,43.1
Total,0.2,8 46.0
