Particulars,Number of Shares,Amount
"As at April 1, 2022 (Face Value ₹ 10)","2 ,50,00,000",250.0
Change during the year,-,-
"As at March 31, 2023 (Face Value ₹ 10)","2 ,50,00,000",250.0
"As at April 1, 2023 (Face Value ₹ 10)","2 ,50,00,000",250.0
Change during the year,-,-
"As at March 31, 2024 (Face Value ₹ 10)","2 ,50,00,000",250.0
"As at April 1, 2024 (Face Value ₹ 10)","2 ,50,00,000",250.0
Change during the period,-,-
"As at September 30, 2024 (Face Value ₹ 10)","2 ,50,00,000",250.0
"As at April 01, 2024 (Face Value ₹ 10)","2 ,50,00,000",250.0
Change during the year,-,-
"As at March 31, 2025 (Face Value ₹ 10)","2 ,50,00,000",250.0
"As at April 01, 2025 (Face Value ₹ 10)","2 ,50,00,000",250.0
Change during the period,-,-
Split of shares into Face value of ₹ 1 each #,"2 2,50,00,000",-
"As at September 30, 2025 (Face Value ₹ 1)","2 5,00,00,000",250.0
