Particulars,"As at September 30, 2025",,
,"Present value of
obligation","Fair value of plan
asset",Net amount
Opening Balance,552.6,439.8,112.8
Current service cost,29.5,-,2 9.5
Interest on asset,15.1,13.2,1 .9
Total amount recognised in Profit and Loss,4 4.6,1 3.2,3 1.4
"Return on plan assets, excluding amounts included in interest
expense/(income)",,30.5,( 30.5)
(Gain)/loss from change in demographic assumptions,-,-,-
(Gain)/loss from change in financial assumptions,1 0.1,-,1 0.1
(Gain)/loss on account of experience changes,7 3.2,-,7 3.2
Total amount recognised in Other Comprehensive Income,8 3.3,3 0.5,5 2.8
Employer Contributions,-,113.0,(113.0)
Benefit Payments,(15.7),(15.7),-
Liabilities assumed/Asset acquired,(0.5),(0.5),-
Closing Balance,664.3,580.3,84.0
