Particulars,Six-months period ended,,As at and for the,,
,"September 30,","September 30,",Financial Year,Financial Year,Financial Year
,2025,2024,ended March,ended March,ended March
,,,"31, 2025","31, 2024","31, 2023"
"Basic Earnings Per Equity Share of face
value of ₹1 each#^ (in ₹)",32.7,26.9,53.6,41.5,30.7
"Diluted Earnings Per Equity Share of face
value of ₹1 each#^ (in ₹)",32.7,26.9,53.6,41.5,30.7
Profit for the period/year (in ₹ million),"16,177.4","13,271.1","26,506.6","20,497.3","15,157.8"
Return on Net Worth (%),86.8%,86.0%,82.8%,78.9%,70.0%
Net Asset Value per Equity Share#^ (in ₹),79.3,66.2,71.2,58.3,46.8
EBITDA (₹ in million),"22,101.0","18,375.5","36,369.9","27,800.1","20,725.8"
