Particulars,Six-months period ended,,As at and for the,,,
,September,"September
30, 2024",Financial,Financial,Financial,"Financial
Year ended
March 31,
2022 (in ₹
million)"
,"30, 2025",,Year ended,Year ended,Year ended,
,,,"March 31,","March 31,","March 31,",
,,,2025 (in ₹,2024 (in ₹,2023 (in ₹,
,,,million),million),million),
Profit for the period/year (I),"16,177.4","13,271.1","26,506.6","20,497.3","15,157.8","14,540.9"
Equity Share Capital (II),176.5,176.5,176.5,176.5,176.5,176.5
Other Equity (III),"39,039.1","32,546.3","34,992.9","28,651.9","22,954.1","19,997.7"
"Net worth for equity shareholders
(IV) = (II+III)","39,215.6(i)","32,722.8(ii)","35,169.4(iii)","28,828.4(iv)","23,130.6(v",") 20,174.2(vi)"
"Average Net worth for equity
shareholders (V)","37,192.5
[(i)+(iii)]/ 2","30,775.6
[(ii)+(iv)]/ 2","31,998.9
[(iii)+(iv)]/ 2","25,979.5
[(iv)+(v)]/ 2","21,652.4
[(v)+(vi)]/","-
2"
"Average Return on net worth for
equity shareholders (%) (VI) = (I/V)",86.8%*,86.0%*,82.8%,78.9%,70.0%,-
