Particulars,,,"Six-months periods ended September 30,",,,,,,
,,,2025,,,,2024,,
,,,(₹ in million),,,(% of Total Income),(₹ in million),(% of Total Income),
,Revenue From Operations,,,,,,,,
Fees and Commission Income,,"27,329.5",,,92.7%,,"21,869.3",89.0%,
Interest Income,,324.9,,,1.1%,,284.1,1.1%,
Dividend Income,,5.9,,,0.0%,,4.3,0.0%,
Net Gain on Fair Value Changes,,"1,833.5",,,6.2%,,"2,424.3",9.9%,
Total Revenue from Operations,,"29,493.8",,,100.0%,,"24,582.0",100.0%,
Other Income,,2.3,,,0.0%,,0.3,0.0%,
Total Income,,"29,496.1",,,100.0%,,"24,582.3",100.0%,
,Expenses,,,,,,,,
Finance Cost,,87.2,,,0.3%,,87.8,0.4%,
Fees and Commission Expense,,"1,992.1",,,6.7%,,"1,426.8",5.8%,
Employee Benefits Expense,,"3,412.2",,,11.6%,,"3,039.0",12.4%,
Depreciation and Amortisation Expense,,519.0,,,1.8%,,406.8,1.6%,
Other Expenses,,"1,990.8",,,6.7%,,"1,741.0",7.1%,
Total Expenses,,"8,001.3",,,27.1%,,"6,701.4",27.3%,
Profit Before tax,,"21,494.8",,,72.9%,,"17,880.9",72.7%,
,Tax Expense:,,,,,,,,
Current Tax,,"5,130.3",,,17.4%,,"4,277.5",17.4%,
