Particulars,,,Financial Year,,,,,,,,,,,,,,,,
,,,2025,,,,,,2024,,,,,,2023,,,,
,,,(₹ in,,,(% of Total,,,(₹ in,,,(% of Total,,,(₹ in,,,(% of Total,
,,,million),,,Income),,,million),,,Income),,,million),,,Income),
,Revenue From Operations,,,,,,,,,,,,,,,,,,
Fees and Commission Income,,"46,827.8",,,94.0%,,,"33,759.0",,,89.8%,,,"26,891.8",,,94.8%,,
Interest Income,,679.3,,,1.4%,,,575.4,,,1.5%,,,443.8,,,1.6%,,
Dividend Income,,10.6,,,0.0%,,,14.3,,,0.0%,,,6.7,,,0.0%,,
Net Gain on Fair Value Changes,,"2,255.6",,,4.5%,,,"3,233.6",,,8.6%,,,"1,031.2",,,3.6%,,
Total Revenue from Operations,,"49,773.3",,,99.9%,,,"37,582.3",,,99.9%,,,"28,373.5",,,100.0%,,
Other Income,,23.4,,,0.1%,,,29.8,,,0.1%,,,8.3,,,0.0%,,
Total Income,,"49,796.7",,,100.0%,,,"37,612.1",,,100.0%,,,"28,381.8",,,100.0%,,
,Expenses,,,,,,,,,,,,,,,,,,
Finance Cost,,185.5,,,0.4%,,,161.9,,,0.4%,,,149.1,,,0.5%,,
Fees and Commission Expense,,"3,194.2",,,6.4%,,,"1,529.7",,,4.1%,,,957.5,,,3.4%,,
Employee Benefits Expense,,"6,142.1",,,12.3%,,,"5,215.6",,,13.9%,,,"4,117.1",,,14.5%,,
Depreciation and Amortisation Expense,,853.9,,,1.7%,,,,657.1,,1.7%,,,505.0,,,1.8%,,
Other Expenses,,"4,090.5",,,8.2%,,,"3,066.7",,,8.2%,,,"2,581.4",,,9.1%,,
Total Expenses,,"14,466.2",,,29.1%,,,"10,631.0",,,28.3%,,,"8,310.1",,,29.3%,,
Profit Before tax,,"35,330.5",,,70.9 %,,,"26,981.1",,,71.7%,,,"20,071.7",,,70.7%,,
,Tax Expense:,,,,,,,,,,,,,,,,,,
Current Tax,,"8,704.9",,,17.5%,,,"6,121.4",,,16.3%,,,"5,095.0",,,18.0%,,
Deferred Tax Charge/(Credit),,119.0,,,0.2%,,,362.4,,,1.0%,,,(181.1),,,(0.7%),,
Total Tax Expense,,"8,823.9",,,17.7%,,,"6,483.8",,,17.2%,,,"4,913.9",,,17.3%,,
Profit for the Year,,"26,506.6",,,53.2%,,,"20,497.3",,,54.5%,,,"15,157.8",,,53.4%,,
