Particulars,,"As of March 31, 2024",,,,,,"As of March 31, 2023",,,,
,,Annual AAUM,,,% of total Annual,,,Annual AAUM,,,% of total Annual,
,,(₹ in billion),,,AAUM,,,(₹ in billion),,,AAUM,
Equity and Equity Oriented,"3,156.4",,,48.8%,,,"2,335.6",,,45.6%,,
Debt,"1,486.6",,,23.0%,,,"1,298.4",,,25.3%,,
ETFs and Index,663.7,,,10.3%,,,464.3,,,9.1%,,
Arbitrage,138.1,,,2.1%,,,119.6,,,2.3%,,
Liquid and Overnight Schemes,580.6,,,9.0%,,,605.2,,,11.8%,,
Mutual Fund AAUM,"6,025.3",,,93.2%,,,"4,823.1",,,94.2%,,
PMS,89.9,,,1.4%,,,40.4,,,0.8%,,
AIF,82.5,,,1.3%,,,80.9,,,1.6%,,
Advisory Assets,265.9,,,4.1%,,,178.0,,,3.5%,,
Alternates AAUM,438.3,,,6.8%,,,299.2,,,5.8%,,
Total Annual AAUM,"6,463.6",,,100.0%,,,"5,122.4",,,100.0%,,
