Particulars,,,"As of September 30,",,,,,,"As of March 31,",,,,,,,
,,,2025,,,2024,,,2025,,,2024,,,2023,
,,,(₹ in million),,,,,,,,,,,,,
,Assets,,,,,,,,,,,,,,,
Total Financial Assets,,"40,235.1",,,"33,481.7",,,"36,030.1",,,"31,628.5",,,"24,848.6",,
Total Non-Financial Assets,,"8,038.3",,,"7,485.7",,,"7,806.7",,,"3,912.4",,,"3,199.0",,
Total Assets,,"48,273.4",,,"40,967.4",,,"43,836.8",,,"35,540.9",,,"28,047.6",,
,Liabilities and Equity,,,,,,,,,,,,,,,
Total Financial Liabilities,,"6,170.8",,,"5,432.7",,,"6,370.2",,,"4,974.6",,,"3,763.3",,
Total Non-Financial Liabilities,,"2,887.0",,,"2,811.9",,,"2,297.2",,,"1,737.9",,,"1,153.7",,
Total Liabilities,,"9,057.8",,,"8,244.6",,,"8,667.4",,,"6,712.5",,,"4,917.0",,
Total Equity,,"39,215.6",,,"32,722.8",,,"35,169.4",,,"28,828.4",,,"23,130.6",,
Total Liabilities and Equity,,"48,273.4",,,"40,967.4",,,"43,836.8",,,"35,540.9",,,"28,047.6",,
