page,table_index,rows,cols,csv_file,csv_path
265,0,5,8,page_0265_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\ICICI Prudential Asset Management Company Limited - RHP\dumped_tables\page_0265_table_00.csv
266,0,6,8,page_0266_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\ICICI Prudential Asset Management Company Limited - RHP\dumped_tables\page_0266_table_00.csv
267,0,12,7,page_0267_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\ICICI Prudential Asset Management Company Limited - RHP\dumped_tables\page_0267_table_00.csv
268,0,3,6,page_0268_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\ICICI Prudential Asset Management Company Limited - RHP\dumped_tables\page_0268_table_00.csv
269,0,16,2,page_0269_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\ICICI Prudential Asset Management Company Limited - RHP\dumped_tables\page_0269_table_00.csv
270,0,24,8,page_0270_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\ICICI Prudential Asset Management Company Limited - RHP\dumped_tables\page_0270_table_00.csv
287,0,3,6,page_0287_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\ICICI Prudential Asset Management Company Limited - RHP\dumped_tables\page_0287_table_00.csv
287,1,3,6,page_0287_table_01.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\ICICI Prudential Asset Management Company Limited - RHP\dumped_tables\page_0287_table_01.csv
287,2,4,6,page_0287_table_02.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\ICICI Prudential Asset Management Company Limited - RHP\dumped_tables\page_0287_table_02.csv
288,0,10,3,page_0288_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\ICICI Prudential Asset Management Company Limited - RHP\dumped_tables\page_0288_table_00.csv
288,1,10,3,page_0288_table_01.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\ICICI Prudential Asset Management Company Limited - RHP\dumped_tables\page_0288_table_01.csv
288,2,10,3,page_0288_table_02.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\ICICI Prudential Asset Management Company Limited - RHP\dumped_tables\page_0288_table_02.csv
289,0,10,3,page_0289_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\ICICI Prudential Asset Management Company Limited - RHP\dumped_tables\page_0289_table_00.csv
