Particulars,Amount
"As at April 1, 2022 (Face value ₹ 10)",176.5
Changes during the year,-
"As at March 31, 2023 (Face value ₹ 10)",176.5
"As at April 1, 2023 (Face value ₹ 10)",176.5
Changes during the year,-
"As at March 31, 2024 (Face value ₹ 10)",176.5
"As at April 1, 2024 (Face value ₹ 10)",176.5
Changes during the period,-
"As at September 30, 2024 (Face value ₹ 10)",176.5
"As at April 1, 2024 (Face value ₹ 10)",176.5
Changes during the year,-
"As at March 31, 2025 (Face value ₹ 10)",176.5
"As at April 1, 2025 (Face value ₹ 10)",176.5
Changes during the period,-
"As at September 30, 2025 (Face value ₹ 1)",176.5
