Particulars,"(i) Undisputed Trade receivables
— considered good","(ii) Undisputed Trade Receivables —
which have significant increase in
credit risk"
Unbilled,-,-
Not Due,-,-
Outstanding for following periods from due date,,
Less than 6 months,"1,718.1",-
6 months -1 year,-,-
1-2 Years,-,-
2-3 years,-,-
More than 3 years,0.1,-
Total,"1,718.2",-
Particulars,"(i) Undisputed Trade receivables
— considered good","(ii) Undisputed Trade Receivables —
which have significant increase in
credit risk"
Unbilled,-,-
Not Due,-,-
Outstanding for following periods from due date,,
Less than 6 months,"1,507.6",-
6 months -1 year,0.1,-
1-2 Years,0.2,-
2-3 years,0.0,-
More than 3 years,0.2,-
Total,"1,508.1",-
Particulars,"(i) Undisputed Trade receivables
— considered good","(ii) Undisputed Trade Receivables —
which have significant increase in
credit risk"
Unbilled,-,-
Not Due,-,-
Outstanding for following periods from due date,,
Less than 6 months,"2,371.3",-
6 months -1 year,0.3,-
1-2 Years,0.1,-
2-3 years,0.1,-
More than 3 years,0.1,-
Total,"2,371.9",-
Particulars,"(i) Undisputed Trade receivables
— considered good","(ii) Undisputed Trade Receivables —
which have significant increase in
credit risk"
Unbilled,-,-
Not Due,-,-
Outstanding for following periods from due date,,
Less than 6 months,"1,957.8",-
6 months -1 year,0.1,-
1-2 Years,0.1,-
2-3 years,0.1,-
More than 3 years,0.1,-
Total,"1,958.2",-
Particulars,"(i) Undisputed Trade receivables
— considered good","(ii) Undisputed Trade Receivables —
which have significant increase in
credit risk"
Unbilled,-,-
Not Due,-,-
Outstanding for following periods from due date,,
Less than 6 months,"1,122.7",-
6 months -1 year,0.0,-
1-2 Years,0.0,-
2-3 years,0.1,-
More than 3 years,0.1,-
Total,"1,122.9",-
