Particulars,Office Premises,,,"Furniture and
Fixtures",Vehicles,"Office
equipment",Computers,"Lease hold
improvements",Total
,Freehold Land,Buildings,"Right of Use
Asset",,,,,,
Gross Block (At Cost),,,,,,,,,
"Deemed cost as at April 1,2022",-,-,"1 ,888.6",24.1,15.0,87.2,4 02.3,2 55.2,"2,672.4"
Additions,-,-,2 53.0,9 .1,9 .7,19.8,1 36.0,60.7,488.3
Disposals,-,-,1 14.3,5 .8,1 .7,9 .2,1 00.5,14.5,246.0
"As at March 31, 2023",-,-,"2 ,027.3",27.4,23.0,97.8,4 37.8,3 01.4,"2,914.7"
Additions,-,-,6 08.3,9 .0,3 .4,48.0,1 52.0,1 14.2,934.9
Disposals,-,-,2 17.0,2 .5,6 .3,3 .7,1 .9,12.6,244.0
"As at March 31, 2024",-,-,"2 ,418.6",33.9,20.1,1 42.1,5 87.9,4 03.0,"3,605.6"
Additions,618.3,-,579.9,4 .5,-,26.9,95.0,33.1,"1,357.7"
Disposals,-,-,5 98.9,2 .3,3 .4,4 .6,1 .4,16.3,626.9
"As at September 30, 2024",618.3,-,"2,399.6",36.1,16.7,164.4,681.5,419.8,"4,336.4"
"As at April 1, 2024",-,-,"2,418.6",33.9,20.1,142.1,587.9,403.0,"3,605.6"
Additions,618.3,-,6 69.1,8 .9,-,42.4,177.3,90.2,"1,606.2"
Disposals,-,-,6 39.0,4 .6,10.4,10.6,118.3,24.3,807.2
"As at March 31, 2025",618.3,-,"2,448.7",38.2,9 .7,173.9,646.9,468.9,"4,404.6"
Additions,-,"2,808.6",3 94.4,69.8,-,329.0,69.8,45.7,"3,717.3"
Disposals,-,-,4 76.5,6 .8,-,17.6,6 .0,38.9,545.8
"As at September 30, 2025",618.3,"2,808.6","2,366.6",101.2,9 .7,485.3,710.7,475.7,"7,576.1"
Depreciation/ Amortisation,,,,,,,,,
"As at April 1, 2022",-,-,9 65.1,12.3,3 .9,25.1,260.6,149.8,"1,416.8"
Additions,-,-,2 71.3,7 .1,5 .9,12.7,75.4,40.5,412.9
Disposals,-,-,1 14.2,5 .5,1 .1,7 .4,95.3,14.2,237.7
"As at March 31, 2023",-,-,"1,122.2",13.9,8 .7,30.4,240.7,176.1,"1,592.0"
Additions,-,-,3 30.8,6 .8,4 .1,28.5,114.6,50.0,534.8
Disposals,-,-,2 17.0,2 .4,6 .0,2 .9,1 .5,10.0,239.8
"As at March 31, 2024",-,-,"1,236.0",18.3,6 .8,56.0,353.8,216.1,"1,887.0"
Additions,-,-,1 87.7,3 .9,1 .7,14.5,73.3,26.4,307.5
Disposals,-,-,5 99.0,2 .2,0 .3,3 .9,1 .0,16.3,622.7
"As at September 30, 2024",-,-,824.7,20.0,8 .2,66.6,426.1,226.2,"1,571.8"
"As at April 1, 2024",-,-,"1,236.0",18.3,6 .8,56.0,353.8,216.1,"1,887.0"
Additions,-,-,3 87.8,7 .5,3 .4,29.7,145.3,52.6,626.3
Disposals,-,-,6 39.0,4 .4,7 .2,9 .5,112.1,24.1,796.3
"As at March 31, 2025",-,-,984.8,21.4,3 .0,76.2,387.0,244.6,"1,717.0"
Additions,-,13.8,2 04.6,6 .8,1 .7,31.5,75.6,33.4,367.4
Disposals,-,-,1 72.6,5 .5,-,15.2,5 .6,38.9,237.8
"As at September 30, 2025",-,13.8,"1,016.8",22.7,4 .7,92.5,457.0,239.1,"1,846.6"
Net Block,,,,,,,,,
"As at March 31, 2023",-,-,905.1,13.5,14.3,67.4,197.1,125.3,"1,322.7"
"As at March 31, 2024",-,-,"1,182.6",15.6,13.3,86.1,234.1,186.9,"1,718.6"
"As at September 30, 2024",618.3,-,"1,574.9",16.1,8.5,97.8,255.4,193.6,"2,764.6"
"As at March 31, 2025",6 18.3,-,"1 ,463.9",1 6.8,6 .7,9 7.7,2 59.9,2 24.3,"2,687.6"
"As at September 30, 2025",6 18.3,"2 ,794.8","1 ,349.8",2 8 7 7 8.5,5 .0,3 92.8,2 53.7,2 36.6,"5 ,729.5"
