Particulars,"Computer
Software"
Gross Block (At Cost),
"Cost as at April 1, 2022",501.0
Additions,151.6
Disposals,1.5
"As at March 31, 2023",651.1
Additions,221.7
Disposals,1.5
"As at March 31, 2024",871.3
Additions,144.3
Disposals,-
"As at September 30, 2024","1,015.6"
"Cost as at April 1, 2024",871.3
Additions,357.3
Disposals,-
"As at March 31, 2025","1,228.6"
Additions,165.3
Disposals,-
"As at September 30, 2025","1,393.9"
Depreciation/ Amortisation,
"As at April 1, 2022",384.2
Additions,92.2
Disposals,1.5
"As at March 31, 2023",474.9
Additions,122.3
Disposals,0.9
"As at March 31, 2024",596.3
Additions,99.3
Disposals,-
"As at September 30, 2024",695.6
"As at April 1, 2024",596.3
Additions,227.6
Disposals,-
"As at March 31, 2025",823.9
Additions,151.7
Disposals,-
"As at September 30, 2025",975.6
Net Block,
"As at March 31, 2023",176.2
"As at March 31, 2024",275.0
"As at September 30, 2024",320.0
"As at March 31, 2025",404.7
"As at September 30, 2025",2 9 0 418.3
