Management fees from,,,,,
i) Mutual fund operations (net of GST),"22,956.7","18,597.7","3 9,635.1","29,986.7","2 4,475.1"
"ii) AIF and Portfolio Management Service
(net of GST)","3,841.5","2,738.2","6,131.9","3,142.8","2,035.3"
iii) Advisory Services,5 31.3,533.4,"1,060.8",629.5,381.4
Total,"27,329.5","21,869.3","46,827.8","33,759.0","26,891.8"
Dividend from Investment,5.9,4.3,10.6,14.3,6.7
Total,5.9,4.3,10.6,1 4.3,6.7
"Net gain/(loss) on financial instruments
at FVTPL",,,,,
On Mutual fund,"1,671.2","2,008.3","2 ,040.9","2 ,627.2",8 32.5
On Others investments,162.3,416.0,2 14.7,6 06.4,1 98.7
Total (A),"1,833.5","2 ,424.3","2 ,255.6","3 ,233.6","1 ,031.2"
Fair value changes:,,,,,
Realised,435.3,485.1,7 60.3,4 85.9,"1 ,134.9"
Unrealised,"1,398.2","1,939.2","1 ,495.3","2 ,747.7",( 103.7)
Total (B),"1,833.5","2 ,424.3","2 ,255.6","3 ,233.6","1 ,031.2"
Total,"1,833.5","2 ,424.3","2 ,255.6","3 ,233.6","1,031.2"
Other income,2.3,0 .3,2 3.4,2 9.8,8.3
Total,2.3,0 .3,2 3.4,2 9.8,8.3
Interest on lease liability(refer note 33),87.2,87.8,1 85.5,161.9,149.1
Total,87.2,87.8,185.5,161.9,1 49.1
"Depreciation on property, plant and
equipment",162.7,119.8,2 38.5,204.0,141.6
Amortisation on intangible asset,151.7,99.3,2 27.6,122.3,92.1
"Depreciation on right of use assets(refer
note 10A)",204.6,187.7,3 87.8,330.8,271.3
Total,519.0,406.8,853.9,657.1,5 05.0
