"As at
September 30, 2025","Change in
assumption","Impact on defined benefit
obligation",
,,Increase,Decrease
Discount rate,50bps,(10.1),10.4
Salary escalation rate,50bps,10.1,(9.9)
"As at
September 30, 2024","Change in
assumption","Impact on defined benefit
obligation",
,,Increase,Decrease
Discount rate,50bps,(9.1),9.4
Salary escalation rate,50bps,9.2,(9.0)
"As at
March 31, 2025","Change in
assumption","Impact on defined benefit
obligation",
,,Increase,Decrease
Discount rate,50bps,(8.2),8.5
Salary escalation rate,50bps,8.3,(8.2)
"As at
March 31, 2024","Change in
assumption","Impact on defined benefit
obligation",
,,Increase,Decrease
Discount rate,50bps,(7.7),8.0
Salary escalation rate,50bps,7.9,(7.7)
