Name of party,Nature of transaction,"Period ended
September 30
2025","Period ended
September 30
2024","Year ended
March 31 2025","Year ended
March 31 2024","Year ended
March 31 2023"
ICICI Bank Limited,Dividend paid,"6 ,166.8","4 ,771.4","10,262.9","7 ,535.2","6 ,220.8"
ICICI Bank Limited,"Common Cost, Commission &
Marketing expenses",2 43.1,1 75.7,3 89.1,2 61.2,2 42.5
ICICI Bank Limited,Performance bank guarantee,-,-,-,1 00.0,-
ICICI Bank Limited,License fees to use Trademark,1 32.5,1 02.5,2 05.0,1 51.6,1 45.4
ICICI Bank Limited,Employee Cost,-,-,-,1.2,0.2
ICICI Bank Limited,"Interest on Fixed Deposit
(Income)",4.4,4.0,8.3,7.0,-
ICICI Bank Limited,"Custody fees and other expenses
incurred and reimbursed to/by
Company",( 3.0),2.1,6.1,4 6.3,51.4
"Prudential Corporation
Holdings Limited",Dividend paid,"5 ,924.9","4 ,584.2","9 ,860.5","7 ,239.6","5 ,976.8"
"Prudential Corporation
Holdings Limited",Reimbursement of expenses,1 78.3,-,-,-,-
ICICI Securities Limited,"Common Cost, Commission &
Marketing expenses",7 8.8,9 7.1,1 88.9,1 64.9,1 55.4
"ICICI Lombard General
Insurance Company Limited",Insurance premium,9 3.4,7 2.1,1 46.8,1 43.5,1 18.6
"ICICI Lombard General
Insurance Company Limited",Insurance claim received,0.1,0.1,0.2,0.0,0.1
"ICICI Prudential Life Insurance
Company Limited",Insurance premium,1 8.6,3 1.8,5 7.1,6 4.8,87.5
"ICICI Foundation for Inclusive
Growth",Corporate Social Responsibility,2 08.7,1 68.7,4 21.8,3 61.5,3 03.4
ICICI International Ltd Mauritius,Advisory fees earned (Income),0.1,0.1,0.3,0.3,0.3
ICICI International Ltd Mauritius,"Custody fees and other expenses
incurred and reimbursed to/by
Company",5.4,5.1,1 0.6,8.5,7.7
"ICICI Venture Funds
Management Company Limited",Employee Cost,0.0,-,-,-,-
"ICICI Investment Management
Company Limited","Common Cost, Commission &
Marketing expenses",1.4,-,-,-,-
"Eastspring Investments
(Singapore) Limited",Advisory fees earned (Income),4 39.0,4 44.7,8 83.1,4 88.4,2 65.3
"Eastspring Securities
Investment Trust Co., Ltd.",Advisory fees earned (Income),9 2.1,8 8.6,1 77.5,1 40.9,1 15.8
"Eastspring Securities
Investment Trust Co., Ltd.","Books, periodicals and
subscriptions & other expenses",-,-,-,-,0.1
Eastspring Investments Limited,"Books, periodicals and
subscriptions & other expenses",-,-,-,0.1,-
Eastspring Investments Limited,Recovery of Travelling expenses,-,-,-,0.3,-
