Ratios,Numerator,Denominator,"September
30, 2025","%
Variance"
"(a) Capital to risk-weighted assets ratio
(CRAR)*",-,-,-,-
(b) Tier I CRAR*,-,-,-,-
(c) Tier II CRAR *,-,-,-,-
(d) Liquidity Coverage Ratio (no.of times),"21,385.2","5,469.7",3.91,5.9
"[Total Financial Assets (within 12
months)/Total Liabilities (within 12 months)]
This has increased as Financial asset
balances and specifically, investments which
are maturing within 12 months from the
reporting date",,,,
Ratios,Numerator,Denominator,"March 31,
2025","%
Variance"
"(a) Capital to risk-weighted assets ratio
(CRAR)*",-,-,-,-
(b) Tier I CRAR*,-,-,-,-
(c) Tier II CRAR *,-,-,-,-
(d) Liquidity Coverage Ratio (no.of times),"18,042.8","4,886.1",3.69,13.4
"[Total Financial Assets (within 12
months)/Total Liabilities (within 12 months)]
This has increased as Financial asset
balances and specifically, investments which
are maturing within 12 months from the
reporting date",,,,
