Grant date,Expiry date,"Exercise
price","Outstanding as at
September 30, 2025","Outstanding as at
September 30, 2024","Outstanding as at
March 31, 2025","Outstanding as at
March 31, 2024","Outstanding as at
March 31, 2023"
26-Apr-08,25-Apr-22,166.48,-,-,-,-,-
24-Apr-10,23-Apr-22,177.76,-,-,-,-,-
24-Apr-10,23-Apr-23,177.76,-,-,-,-,-
24-Apr-10,23-Apr-24,177.76,-,-,-,-,-
07-Feb-11,29-Apr-24,175.82,-,-,-,-,-
07-Feb-11,29-Apr-25,175.82,-,-,-,"2,06,250","2,06,250"
28-Apr-11,27-Apr-22,201.25,-,-,-,-,
28-Apr-11,27-Apr-23,201.25,-,-,-,-,-
28-Apr-11,27-Apr-24,201.25,-,-,-,-,-
28-Apr-11,27-Apr-25,201.25,-,-,-,"13,200","13,200"
26-Apr-13,25-Apr-24,214.06,-,-,-,-,-
26-Apr-13,25-Apr-25,214.06,-,-,-,"11,000","11,000"
26-Apr-13,25-Apr-26,214.06,-,-,-,"16,500","16,500"
26-Apr-13,25-Apr-27,214.06,-,-,-,"16,500","16,500"
25-Apr-14,24-Apr-25,236.28,-,"2,40,075",-,"2,64,825","2,64,825"
25-Apr-14,24-Apr-26,236.28,-,"2,40,075","2,40,075","2,64,825","2,64,825"
25-Apr-14,24-Apr-27,236.28,"3,20,100","3,20,100","3,20,100","3,53,100","3,53,100"
25-Apr-14,29-Apr-27,236.28,"1,37,500","1,37,500","1,37,500","1,37,500","1,37,500"
25-Apr-14,29-Apr-28,236.28,"1,37,500","1,37,500","1,37,500","1,37,500","1,37,500"
27-Apr-15,26-Apr-26,280.23,"1,73,250","2,54,100","2,54,100","2,78,850","2,78,850"
27-Apr-15,26-Apr-27,280.23,"2,54,100","2,54,100","2,54,100","2,78,850","2,82,460"
27-Apr-15,26-Apr-28,280.23,"3,42,800","3,42,800","3,42,800","3,75,800","3,79,280"
16-Sep-15,29-Apr-28,244.45,"5,87,125","5,87,125","5,87,125","6,49,000","6,49,000"
16-Sep-15,29-Apr-29,244.45,"5,87,125","5,87,125","5,87,125","6,49,000","6,49,000"
28-Apr-16,27-Apr-27,222.36,"2,45,488","2,47,683","2,45,488","2,58,656","2,58,656"
28-Apr-16,27-Apr-28,222.36,"2,45,486","2,47,680","2,45,486","2,58,652","2,58,652"
28-Apr-16,27-Apr-29,222.36,"3,27,316","3,30,242","3,27,316","3,44,872","3,44,872"
03-May-17,02-May-28,250.55,"3,31,221","3,33,102","3,31,221","3,50,972","3,50,972"
03-May-17,02-May-29,250.55,"3,31,221","3,33,102","3,31,221","3,50,971","3,50,971"
03-May-17,02-May-30,250.55,"4,41,628","4,44,136","4,41,628","4,67,962","4,67,962"
07-May-18,06-May-24,282.85,-,-,-,"8 ,910","1,27,800"
07-May-18,06-May-25,282.85,-,"2,26,680","1,55,400","2,43,600","3,47,550"
07-May-18,06-May-26,282.85,"2,99,080","3,02,240","2,99,080","3,24,800","4,63,400"
06-May-19,05-May-25,401.8,-,"3,19,950","1,83,150","3,19,950","3,19,950"
06-May-19,05-May-26,401.8,"1,83,150","3,19,950","3,18,000","3,19,950","3,19,950"
06-May-19,05-May-27,401.8,"4,24,000","4,26,600","4,24,000","4,26,600","4,26,600"
09-May-20,08-May-26,337.7,"1,83,150","3,18,900","3,18,000","3,18,900","3,18,900"
09-May-20,08-May-27,337.7,"3,18,000","3,18,900","3,18,000","3,18,900","3,18,900"
09-May-20,08-May-28,337.7,"4,24,000","4,25,200","4,24,000","4,25,200","4,25,200"
24-Apr-21,23-Apr-27,569.95,"2,08,470","2,09,070","2,08,470","2,09,070","2,09,070"
24-Apr-21,23-Apr-28,569.95,"2,08,470","2,09,070","2,08,470","2,09,070","2,09,070"
24-Apr-21,23-Apr-29,569.95,"2,77,960","2,78,760","2,77,960","2,78,760","2,78,760"
23-Apr-22,22-Apr-28,747.65,"1,34,490","1,35,000","1,34,490","1,35,000","1,35,000"
23-Apr-22,22-Apr-29,747.65,"1,34,490","1,35,000","1,34,490","1,35,000","1,35,000"
23-Apr-22,22-Apr-30,747.65,"1,79,320","1,80,000","1,80,000","1,80,000","1,80,000"
21-Apr-23,20-Apr-29,894.4,"1,29,180","1,29,180","1,29,180","1,29,180",-
21-Apr-23,20-Apr-30,894.4,"1,29,180","1,29,180","1,29,180","1,29,180",-
21-Apr-23,20-Apr-31,894.4,"1,72,240","1,72,240","1,72,240","1,72,240",-
26-Apr-24,25-Apr-30,1113.75,"1,13,850","1,13,850","1,13,850",-,-
26-Apr-24,25-Apr-31,1113.75,"1,13,850","1,13,850","1,13,850",-,-
26-Apr-24,25-Apr-32,1113.75,"1,51,800","1,51,800","1,51,800",-,-
17-Apr-25,16-Apr-31,1356.4,"1,07,550",-,-,-,-
17-Apr-25,16-Apr-32,1356.4,"1,07,550",-,-,-,-
17-Apr-25,16-Apr-33,1356.4,"1,43,400",-,-,-,-
Total,,,"86,05,040","96,51,865","91,76,395","99,69,095","99,07,025"
"Weighted average remaining contractual
life of options outstanding at end of period",,,2.9,3 .4,3.0,3.7,4.5
