,,,2025,2024,2023
,QAAUM (₹ in billion),,,,
Equity and Equity Oriented,"5,666.3","4,745.5","4,876.5","3,739.1","2,487.0"
Debt,"1,991.4","1,674.4","1,721.2","1,498.6","1,267.7"
Exchange traded funds and Index,"1,511.9","1,129.2","1,241.8",822.6,503.8
Arbitrage,318.2,236.3,255.2,169.4,110.4
Liquid and Overnight Schemes,659.7,627.0,699.3,601.2,627.4
Mutual Fund QAAUM,"10,147.6","8,412.3","8,794.1","6,831.0","4,996.3"
PMS,253.7,211.5,211.8,132.2,44.7
AIF,146.5,104.2,115.6,83.5,84.0
Advisory Assets,329.1,374.6,311.3,336.4,182.5
Alternates QAAUM,729.3,690.4,638.7,552.2,311.2
Total QAAUM,"10,876.9","9,102.6","9,432.8","7,383.1","5,307.4"
