Particulars,,As of six-months period ended September,,,,,,As of six-months period ended September,,,,
,,"30, 2025",,,,,,"30, 2024",,,,
,,Annual AAUM,,,% of Total Annual,,,Annual AAUM,,,% of Total Annual,
,,(₹ in billion),,,AAUM,,,(₹ in billion),,,AAUM,
"Equity and Equity Oriented
Schemes","5,466.1",,,52.0%,,,"4,436.7",,,51.5%,,
Debt,"1,906.8",,,18.1%,,,"1,632.2",,,18.9%,,
ETFs and Index,"1,461.6",,,13.9%,,,"1,049.2",,,12.2%,,
Arbitrage,298.5,,,2.8%,,,219.2,,,2.5%,,
Liquid and Overnight Schemes,660.6,,,6.3%,,,605.3,,,7.0%,,
Mutual Fund AAUM,"9,793.6",,,93.2%,,,"7,942.6",,,92.2%,,
PMS,246.0,,,2.3%,,,190.9,,,2.2%,,
AIF,138.9,,,1.3%,,,98.4,,,1.1%,,
Advisory Assets,329.8,,,3.1%,,,381.4,,,4.4%,,
Alternates AAUM,714.7,,,6.8%,,,670.7,,,7.8%,,
Total Annual AAUM,"10,508.4",,,100.0%,,,"8,613.3",,,100.0%,,
