Particulars,,,Land,Building
"Deemed cost
Balance as at 01-Apr-2022
Addition
Disposal / adjustment",,,"19.29
1.72
-","8.65
-
-"
Balance as at 31-Mar-2023,,,21.01,8.65
"Addition
Disposal / adjustment",,,"-
24.47","-
-"
Balance as at 31-Mar-2024,,,45.48,8.65
"Addition
Disposal / adjustment",,,"-
-","-
-"
Balance as at 31-Mar-2025,,,45.48,8.65
"Addition
Disposal / adjustment",,,"-
-","-
-"
Balance as at 31-Sep-2025,,,45.48,8.65
"Accumulated depreciation & impairment
Balance as at 01-Apr-2022
Depreciation expense for the year
Elimination on disposal of assets",,,"-
-
-","-
0.82
-"
Balance as at 31-Mar-2023,,,-,0.82
"Depreciation expense for the year
Elimination on disposal of assets",,,"-
-","0.74
-"
Balance as at 31-Mar-2024,,,-,1.56
"Depreciation expense for the year
Elimination on disposal of assets",,,"-
-","0.67
-"
Balance as at 31-Mar-2025,,,-,2.23
"Depreciation expense for the period
Elimination on disposal of assets",,,"-
-","0.30
-"
Balance as at 30-Sep-2025,,,-,2.54
"Net carrying amount as at
30/Sep/2025
31/Mar/2025
31/Mar/2024
31/Mar/2023",,,"45.48
45.48
45.48
21.01","6.11
6.42
7.08
7.82"
"On transition to Ind AS, the company has elected to continue with the carrying value of all investment property measured as per the previous GAAP.",,,,
Details of the investment properties and information about the fair value hierarchy:,,,Flat*,
Particulars,,,Land,Building
"Value as at 31st March 2023
Fair value difference",,,"21.01
24.47","7.82
-"
"Value as at 31st March 2024
Fair value difference
Value as at 31st March 2025
Fair value difference",,,"45.48
-
45.48
-","7.08
-
6.42
-"
"*The fair values oftheFlatatGurgaon havebeen arrived aton thebasis ofavaluation carried outbytheindependent valuers ofPrithvi& Associates,not
related to the Companywhoare registered with theauthoritywhich governs thevaluers in India and have appropriate qualifications and experience in the
valuation of properties in the relevant locations.",,,,
