17 (b) Other equity,,,,,
(a),Particulars,As at,,,
,,30/Sep/2025,31/Mar/2025,31/Mar/2024,31/Mar/2023
,"Securities premium
Retained earnings","-
8 34.33","-
6 29.76","-
3 34.48","-
3 89.05"
,Total,8 34.33,6 29.76,3 34.48,3 89.05
,"Securities premium
Opening balance
Received during the year","-
-","-
-","-
-","-
-"
,Closing balance,-,-,-,-
,"Retained earnings
Opening balance
Bonus shares issued during the year
Profit / (loss) for the year
Remeasurement of defined benefit plan
Remeasurement of investment property
Movement in foreign currency translation reserve during the year
De-investment in subsidiary - loss reversed","6 33.85
2 03.25
4 .46
-
0.05
-","3 35.48
-
2 93.32
5 .05
-
-
-","3 89.05
(175.50)
1 03.72
(1.14)
1 7.35
-
2 .00","2 94.45
8 8.81
5.79
-
-
-"
,"Non-controlling interest
Loss as at balance sheet date
Equity capital","8 41.61
(7.33)
0.05","6 33.85
(4.14)
0 .05","3 35.48
(1.05)
0 .05","3 89.05
-
-"
,Closing balance,8 34.33,6 29.76,3 34.48,3 89.05
Notes,,,,,
(a),,,,,
