Particulars,"For the six
months period
ended",For the year ended,,
,30/Sep/2025,31/Mar/2025,31/Mar/2024,31/Mar/2023
"Profit before tax [A]
Loss of subsidiaries [B]
Income tax rate [C]","235.73
(8.94)
25.17%","3 90.48
(15.49)
25.17%","1 09.63
(2.06)
29.12%","103.06
-
29.12%"
Income tax expense [(A-B)*C],61.58,1 02.17,3 2.53,30.01
"Effect of expenses that are not deductible in determining taxable profit
Effect of deductible temporary difference recognised as deferred tax
Effect of expense disallowed last year, now allowed
Tax effect due to permanent differences
Effect of income taxed at special rates
Effect of change in Depereciation
Tax effect due to MAT
Effect of prior period tax adjustments
Donation expense
Others Deductions Section 80JJAA","-
0.91
(0.04)
6.66","0.50
5.06
(2.28)
1 7.89","-
6.66
-","-
-
-"
,,,1 4.07,"-
(1.60)
(0.11)
14.94
-
-
(23.55)"
,(0.07),(0.12),-,
,"1.09
-
-
-
(29.78)","2.91
-
-
0.25
(31.69)",1.33,
,,,-,
,,,(1.41),
,,,-,
,,,(33.40),
Total tax expense / (credit) recognised in the statement of profit and loss,40.36,9 4.69,1 9.78,19.69
