Particulars,,Pre-Offer as at,,"As adjusted for the
proposed Offer(4)"
,,"September 30,",,
,,2025(3),,
Borrowings,,,,
Short term borrowings(1),"1,047.56",,,[●]
Bank OD / Cash Credit,781.68,,,[●]
Working capital demand loans from banks,130.00,,,[●]
Bill discounting from banks,135.88,,,[●]
"Non-current borrowings (including current
maturities of non-current borrowings)(2) (A)",76. 39,,,[●]
Term loan: from banks,43.07,,,[●]
Unsecured borrowings: from directors,13.53,,,[●]
Unsecured borrowings: from NBFCs,10.95,,,[●]
Unsecured borrowings: from banks,8.84,,,[●]
Total borrowings (B),"1,123.95",,,[●]
Equity,,,,
Equity Share capital,189.00,,,[●]
Other equity,834.33,,,[●]
Non controlling interest,-,,,[●]
Total equity (C),"1,023.33",,,[●]
Non-current borrowings / Equity ratio (A/C),0.07,,,[●]
Total borrowings / Equity ratio (B/C),1.10,,,[●]
