"Operational Segment
Revenue",,"Six months period
ended September
30, 2025",,,Fiscal 2025,,,,Fiscal 2024,,,,Fiscal 2023,,,
,"Amoun
t",Amoun,,"Percentag
e of
Revenue
from
Operation
s","Amoun
t",,Percentag,,"Amoun
t",,Percentag,,"Amoun
t",,Percentag,
,,t,,,,,e of,,,,e of,,,,e of,
,,,,,,,Revenue,,,,Revenue,,,,Revenue,
,,,,,,,from,,,,from,,,,from,
,,,,,,,Operation,,,,Operation,,,,Operation,
,,,,,,,s,,,,s,,,,s,
Manpower Services,"2,020.32",,42.09,,"3,695.58",41.38,,,"2,625.38",51.45,,,"2,157.30",84.42,,
Toll Plaza Management,"2,739.88",,57.08,,"5,014.33",56.14,,,"2,418.09",47.38,,,333.33,13.04,,
"Skill Development
Training",39.55,,0.82,,220.12,2.46,,,59.79,1.17,,,64.77,2.54,,
Total,"4,799.75",,100.00,,"8,930.03",100.00,,,"5,103.26",100.00,,,"2,555.40",100.00,,
