Client,Six months period ended,,Fiscal 2025,,Fiscal 2024,,Fiscal 2023,
,"September 30, 2025",,,,,,,
,Amount,Percentage,Amount,Percentage of,Amount,Percentage,Amount,Percentage
,,of revenue to,,revenue to the,,of revenue,,of revenue
,,the segment,,segment,,to the,,to the
,,,,,,segment,,segment
"Top 5
clients","1,019.03",50.45,"1,636.85",44.29,"1,017.04",38.74,774.05,35.88
Government,589.73,29.20,936.39,25.34,695.24,26.48,558.81,25.90
Private,429.31,21.25,700.47,18.95,321.80,12.26,215.23,9.98
"Top 10
clients","1,351.34",66.90,"2,100.33",56.83,"1,397.80",53.24,"1,095.38",50.98
Government,760.98,37.67,"1,399.86",37.88,947.38,36.08,727.30,33.71
Private,590.37,29.23,700.47,18.95,450.43,17.16,368.08,17.06
