page,table_index,rows,cols,csv_file,csv_path
301,0,5,5,page_0301_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\INNOVISION LIMITED - RHP\dumped_tables\page_0301_table_00.csv
301,1,5,5,page_0301_table_01.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\INNOVISION LIMITED - RHP\dumped_tables\page_0301_table_01.csv
302,0,6,6,page_0302_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\INNOVISION LIMITED - RHP\dumped_tables\page_0302_table_00.csv
304,0,8,20,page_0304_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\INNOVISION LIMITED - RHP\dumped_tables\page_0304_table_00.csv
305,0,15,6,page_0305_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\INNOVISION LIMITED - RHP\dumped_tables\page_0305_table_00.csv
306,0,19,6,page_0306_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\INNOVISION LIMITED - RHP\dumped_tables\page_0306_table_00.csv
307,0,12,5,page_0307_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\INNOVISION LIMITED - RHP\dumped_tables\page_0307_table_00.csv
307,1,2,5,page_0307_table_01.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\INNOVISION LIMITED - RHP\dumped_tables\page_0307_table_01.csv
308,0,4,5,page_0308_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\INNOVISION LIMITED - RHP\dumped_tables\page_0308_table_00.csv
308,1,10,6,page_0308_table_01.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\INNOVISION LIMITED - RHP\dumped_tables\page_0308_table_01.csv
316,0,5,5,page_0316_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\INNOVISION LIMITED - RHP\dumped_tables\page_0316_table_00.csv
316,1,29,9,page_0316_table_01.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\INNOVISION LIMITED - RHP\dumped_tables\page_0316_table_01.csv
317,0,18,2,page_0317_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\INNOVISION LIMITED - RHP\dumped_tables\page_0317_table_00.csv
317,1,4,5,page_0317_table_01.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\INNOVISION LIMITED - RHP\dumped_tables\page_0317_table_01.csv
317,2,5,5,page_0317_table_02.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\INNOVISION LIMITED - RHP\dumped_tables\page_0317_table_02.csv
318,0,3,5,page_0318_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\INNOVISION LIMITED - RHP\dumped_tables\page_0318_table_00.csv
318,1,3,5,page_0318_table_01.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\INNOVISION LIMITED - RHP\dumped_tables\page_0318_table_01.csv
318,2,2,5,page_0318_table_02.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\INNOVISION LIMITED - RHP\dumped_tables\page_0318_table_02.csv
318,3,4,5,page_0318_table_03.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\INNOVISION LIMITED - RHP\dumped_tables\page_0318_table_03.csv
319,0,4,5,page_0319_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\INNOVISION LIMITED - RHP\dumped_tables\page_0319_table_00.csv
319,1,24,5,page_0319_table_01.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\INNOVISION LIMITED - RHP\dumped_tables\page_0319_table_01.csv
