Particulars,"Note
No.","For the six
months period
ended",For the year ended,,
,,30/Sep/2025,31/Mar/2025,31/Mar/2024,31/Mar/2023
"INCOME
Revenue from operations
Other income","24
25","4,799.96
31.08","8,931.31
28.15","5,103.26
18.01","2,555.65
20.59"
Total income,,"4,831.04","8,959.46","5,121.27","2,576.24"
"EXPENSES
Direct expenses
Cost of materials consumed
Purchase of stock-in-trade
Changes in inventories of finished goods,
Stock-in-Trade,
work-in-progress and intermediates
Employee benefits expense
Finance costs
Depreciation and amortization expense
Other expenses","26
27
28
29
30
31","2,573.32
-
14.09
(14.09)
1,888.30
57.73
10.76
65.20","4,839.58
-
-
-
3,508.33
101.81
25.22
94.04","2,335.87
-
-
-
2,503.81
69.50
17.47
84.99","331.67
-
-
-
2,026.53
51.53
9.02
54.43"
Total expenses,,"4,595.31","8,568.98","5,011.64","2,473.18"
"Profit / (loss) before exceptional items and tax
Exceptional items",,"235.73
-","390.48
-","109.63
-","103.06
-"
Profit before tax,,235.73,390.48,109.63,103.06
"Tax expense / (credit)
Current tax
Deferred tax",,"40.36
(4.67)","94.69
5.56","19.78
(12.87)","19.69
(5.44)"
Total tax expense / (credit),32,35.69,100.25,6.91,14.25
Profit / (loss) for the year,,200.04,290.23,102.72,88.81
"Other comprehensive income
Items that will not be reclassified to profit or loss
Remeasurement of post employment benefit obligations - gain / (loss)
Fair Value Gain on Investment Property
Foreign currency translation reserve
Income tax on above",,"5.96
-
0.07
(1.50)","6.75
-
-
(1.70)","(1.61)
24.47
-
(6.66)","8.17
-
-
(2.38)"
Total other comprehensive income,,4.53,5.05,16.21,5.79
Total comprehensive income for the year,,204.57,295.28,118.93,94.60
"Profit/(loss) attributable to:
Owners of the Company
Non-controlling interests",,"203.23
(3.19)","293.32
(3.09)","103.72
(1.00)","88.81
-"
,,200.04,290.23,102.72,88.81
"Total comprehensive income attributable to:
Owners of the Company
Non-controlling interests",,"4.53
-","5.05
-","16.21
-","5.79
-"
,,4.53,5.05,16.21,5.79
"Earnings per equity share (of ₹ 10/- each)*
Basic (₹)
Diluted (₹)",33,"10.82
10.82","15.62
15.62","6.29
6.29","5.01
5.01"
