Particulars,Computers,"Plant &
Machinery","Furniture
and fixtures","Office
equipment",Vehicles,"Freehold
land",Buildings,Total
"Deemed cost
Balance as at 1 April 2022
Addition
Disposal / adjustment","34.24
0.66
-","0.47
-
-","24.33
0.92
-","21.95
1.12
-","20.69
-
-",,,"104.65
2.70
-"
,,,,,,2.18,0.80,
,,,,,,-,-,
,,,,,,-,-,
Balance as at 31-Mar-2023,34.90,0.47,25.25,23.08,20.69,2.18,0.80,107.35
"Addition
Disposal / adjustment","1.29
-","1.83
-","4.90
-","1.01
-","42.82
(3.24)",12.67,-,"64.52
(3.24)"
,,,,,,-,-,
Balance as at 31-Mar-2024,36.19,2.30,30.15,24.09,60.27,14.85,0.80,168.64
"Addition
Disposal / adjustment","2.04
( 0.03)","0.45
-","2.00
-","2.43
-","4.40
(5.73)",0.94,-,"12.26
(5.76)"
,,,,,,-,-,
Balance as at 31-Mar-2025,38.20,2.75,32.15,26.52,58.94,15.79,0.80,175.14
"Addition
Disposal / adjustment","1.63
-","0.27
-","1.42
-","2.15
(0.08)","-
-","-
-","-
-","5.46
(0.08)"
Balance as at 30-Sep-2025,39.83,3.02,33.57,28.59,58.94,15.79,0.80,180.53
"Accumulated depreciation
Balance as at 1 April 2022
Depreciation expense for the year
Elimination on disposal of assets","31.82
0.61
-","0.42
0.01
-","17.86
1.86
-","18.09
1.42
-","11.50
2.84
-",,,"79.69
6.81
-"
,,,,,,-,-,
,,,,,,-,0.08,
,,,,,,-,-,
Balance as at 31-Mar-2023,32.43,0.43,19.72,19.51,14.34,-,0.08,86.50
"Depreciation expense for the year
Elimination on disposal of assets","0.70
-","0.09
-","1.77
-","1.24
-","8.86
(2.93)",-,0.07,"12.73
(2.93)"
,,,,,,-,-,
Balance as at 31-Mar-2024,33.13,0.52,21.49,20.75,20.28,-,0.15,96.31
"Depreciation expense for the year
Elimination on disposal of assets","1.55
( 0.03)","0.75
-","2.58
-","1.99
-","13.25
(5.44)",-,0.06,"20.18
(5.47)"
,,,,,,-,-,
Balance as at 31-Mar-2025,34.65,1.27,24.07,22.74,28.09,-,0.21,111.02
"Depreciation expense for the year
Elimination on disposal of assets","0.91
-","0.38
-","1.10
-","0.82
(0.07)","4.83
-","-
-","0.03
-","8.08
(0.07)"
Balance as at 30-Sep-2025,35.56,1.65,25.17,23.49,32.92,-,0.24,119.04
"Net carrying amount as at
30/Sep/2025
31/Mar/2025
31/Mar/2024
31/Mar/2023","4 .27
3.55
3.06
2.47","1.37
1.48
1.78
0.04","8.40
8.08
8.66
5.53","5.10
3.78
3.34
3.57","26.02
30.85
39.99
6.35",,,"61.51
64.12
72.33
20.86"
,,,,,,"15.79
15.79
14.85
2.18","0.56
0.59
0.65
0.72",
