Particulars,As at,,,,,,,
,30/Sep/2025,,31/Mar/2025,,31/Mar/2024,,31/Mar/2023,
,"No. of
shares",₹,"No. of
shares",₹,"No. of
shares",₹,"No. of
shares",₹
"Authorised capital
Equity shares of ₹ 10/- each","3,20,00,000",320.00,"3,20,00,000",320.00,"2,60,00,000",260.00,"2 5,00,000",25.00
Total,"3,20,00,000",3 20.00,"3,20,00,000",320.00,"2,60,00,000",260.00,"2 5,00,000",25.00
"Issued, subscribed and fully paid up capital
Equity shares of ₹ 10/- each","1,89,00,000",1 89.00,"1,89,00,000",189.00,"1,89,00,000",189.00,"1 3,50,000",13.50
Total,"1,89,00,000",1 89.00,"1,89,00,000",189.00,"1,89,00,000",189.00,"1 3,50,000",13.50
Particulars,As at,,,,,,,
,30/Sep/2025,,31/Mar/2025,,31/Mar/2024,,31/Mar/2023,
,"No. of
shares",₹,"No. of
shares",₹,"No. of
shares",₹,"No. of
shares",₹
"Equity shares of ₹ 10/- each
Opening balance
Add: Bonus issue during the year","1,89,00,000
-","1 89.00
-","1,89,00,000
-","189.00
-","13,50,000
1,75,50,000","13.50
175.50","1 3,50,000
-","13.50
-"
Closing balance,"1,89,00,000",1 89.00,"1,89,00,000",189.00,"1,89,00,000",189.00,"1 3,50,000",13.50
Particulars,As at,,,,,,,
,30/Sep/2025,,31/Mar/2025,,31/Mar/2024,,31/Mar/2023,
,No. of shares,%,"No. of
shares",%,"No. of
shares",%,"No. of
shares",%
"Equity shares of ₹ 10/- each
Randeep Hundal
Uday Pal Singh","94,49,986
94,49,958","50%
50%","94,49,986
94,49,958","50%
50%","94,49,986
94,49,944","50%
50%","6 ,74,999
6 ,74,996","50%
50%"
Total,"1,88,99,944",100%,"1,88,99,944",100%,"1,88,99,930",100.00%,"1 3,49,995",100%
Particulars,As at,,,,,,,
,30/Sep/2025,,31/Mar/2025,,31/Mar/2024,,31/Mar/2023,
,No. of shares,%,"No. of
shares",%,"No. of
shares",%,"No. of
shares",%
"Randeep Hundal
Uday Pal Singh","94,49,986
94,49,958","50%
50%","94,49,986
94,49,958","50%
50%","94,49,986
94,49,944","50%
50%","6 ,74,999
6 ,74,996","50%
50%"
,"1,88,99,944",100%,"1,88,99,944",100%,"1,88,99,930",100%,"13,49,995",100%
